1821,ABAIXADOR DE LINGUA,THEOTO,UN,PT C/ 100 UN,100,7891334109018
2126,ABAIXADOR DE LINGUA ESTERIL INDIVIDUAL,ESTILO,UN,PT C/ 500 UN,500,7890000003552
2904,ABIRATERONA ACETATO 250 MG CP,DR REDDY'S,CP,FR C/ 120 CP,120,8901148240056
876,ABIRATERONA ACETATO 250 MG CP,SANDOZ,CP,FR C/ 120 CP,120,7897595633545
1417,ABRETIA 30 MG CP (C1),FQM,CS,CX C/ 30 CS,30,7898040325565
2626,ABRETIA 60 MG CP (C1) VP,FQM,CP,CX C/ 30 CP,30,7898040325602
1484,ABRILAR 7 MG/ML SOL OR 100 ML,FQM,FR,CX C/ 1 FR,1,17898040320973
2789,ABRILAR 7 MG/ML SOL OR 100 ML VP,FQM,FR,CX C/ 1 FR,1,7898040320973
1517,ABRILAR 7 MG/ML SOL OR 200 ML,FQM,FR,CX C/ 1 FR,1,7898040321970
2459,ACEBROFILINA 10 MG/ML XPE 120 ML,GERMED,FR,CX C/ 1 FR,1,7896004710495
1554,ACEBROFILINA 10 MG/ML XPE 120 ML,EMS,FR,CX C/ 1 FR,1,7896004710471
2914,ACEBROFILINA 25MG/5ML XPE 120 ML,LABORATORIO GLOBO,FR,CX C/ 1 FR,1,7899620912748
962,ACEBROFILINA 5 MG/ML XPE 120 ML,PRATI DONADUZZI,FR,CX C/ 1 FR,1,4087632
132,ACEBROFILINA 5 MG/ML XPE 120 ML,EMS,FR,CX C/ 1 FR,1,7896004710464
2913,ACEBROFILINA 50MG/5ML XPE 120 ML,LABORATORIO GLOBO,FR,CX C/ 1 FR,1,7899620912731
474,ACESYL 100 MG/ML INJ 1 ML,CITOPHARMA,AP,CX C/ 50 AP,50,7898920500099
195,ACETILCISTEINA 100 MG/ML INJ 3 ML ,UNIAO QUIMICA,AP,CX C/ 5 AP,5,7896006259732
1408,ACETILCISTEINA 20 MG/ML XPE 120 ML,EMS,FR,CX C/ 1 FR,1,7896004715292
2819,ACETILCISTEINA 200 MG ENV,EMS,EN,CX C/ 16 EN,16,17896004708706
174,ACETILCISTEINA 200 MG ENV VP,EMS,EN,CX C/ 16 EN,16,7896004708706
923,ACETILCISTEINA 40 MG/ML XPE 120 ML,EMS,FR,CX C/ 1 FR,1,7896004713366
3226,ACETILCISTEINA 40 MG/ML XPE 120 ML,EMS,FR,CX C/ 1 FR,1,7896004713373
3034,ACETILCISTEINA 600 MG ENV,GERMED,EN,CX C/ 16 EN,16,7896004713328
3196,ACETILCISTEINA 600 MG ENV,EMS,EN,CX C/ 16 EN,16,17896004713342
116,ACETILCISTEINA 600 MG ENV  VP,EMS,EN,CX C/ 16 EN,16,7896004713342
2436,ACETILCISTEÍNA 20 MG/ML XPE 120 ML,LEGRAND,FR,CX C/ 1 FR,1,7894916143400
3231,ACICLOVIR 200MG CP,GERMED,CP,CX C/ 25 CP,25,7896004770772
335,ACICLOVIR 250 MG PO LIOF INJ,TEUTO,FA,CX C/ 50 FA,50,7000000000002
2905,ACICLOVIR 50 MG/G BG CREM,EMS,BI,CX C/ 1 BG,1,17896004771199
539,ACICLOVIR 50 MG/G BG CREM,LEGRAND,BI,CX C/ 1 BG,1,7894916341530
250,ACICLOVIR 50 MG/G BG CREM,PRATI DONADUZZI,BI,CX C/ 1 BG,1,4063803
144,ACICLOVIR 50 MG/G BG CREM VP,EMS,BI,CX C/ 1 BG,1,7896004771199
921,ACIDO ACETILSALICILICO 100 MG CP ,EMS,CP,CX C/ 30 CP ,30,7896004710891
1943,ACIDO ACETILSALICILICO 500 MG CP ,EMS,CP,CX C/ 200 CP,200,7896004703572
441,ACIDO ASCORBICO 100 MG/ML INJ 5 ML VP,HYPOFARMA,AP,CX C/ 100 AP,100,7898122913772
425,ACIDO FOLICO 5 MG CP,GEOLAB,CP,CX C/ 20 CP,20,7899095202962
3060,ACIDO FOSFORICO OXI MAX 1 L,RIOQUIMICA,UN,CX C/ 12,12,17897780208692
3061,ACIDO FOSFORICO OXI MAX 5 L,RIOQUIMICA,UN,CX C/ 4,4,17897780211500
1740,ACIDO TRANEXAMICO 250 MG CP,LEGRAND,CP,CX C/ 12 CP,12,7894916144971
117,ACIDO TRANEXAMICO 250 MG CP VP,EMS,CP,CX C/ 12 CP,12,7896004723020
362,ACIDO TRANEXAMICO 50 MG/ML INJ 5 ML,HIPOLABOR,AP,CX C/ 100 AP,100,7898470682054
1166,ACIDO TRANEXAMICO 50 MG/ML INJ 5 ML,BLAU,AP,CX C/ 5 AP,5,7896014670055
194,ACIDO ZOLEDRONICO 4 MG INJ,BLAU,FA,CX C/ 10 FA ,10,7896014663521
168,ACIDO ZOLEDRONICO 4 MG INJ,ACCORD,FA,CX C/ 1 FA,1,7898577810398
976,ACIDO ZOLEDRONICO 4 MG PO LIOF INJ VP,CRISTALIA ONCO,FA,CX C/ 1 FA,1,7896676420388
1130,ACIDO ZOLEDRONICO 4 MG/5ML INJ ,EUROFARMA ONCO,FA,CX C/ 1 FA,1,7891317459222
230,ACIDOS GRAXOS ESSENCIAIS 100 ML(AGESANI),AGESANI,FR,CX C/ 1 UN,1,7898619730028
227,ACIDOS GRAXOS ESSENCIAIS 200 ML(AGESANI),AGESANI,FR,CX C/ 1 FR,1,7898619730035
1459,ACIDOS GRAXOS ESSENCIAIS 20ML (AGESANI),AGESANI,UN,CX C/ 1 UN,1,7898619730011
878,ACLASTA 5MG/100ML INJ,SANDOZ,FR,CX C/ 1 FA,1,7896261010451
1844,ADAPTADOR P/ AGULHA DE COLETA A VACUO,SOL-MILLENNIUM,UN,PT C/ 250,250,7890000003598
1671,ADAPTADOR P/FRASCO SOLU.(TRANSOFIX)DUPLA,TKL,UN,CX C/100 UN,100,7898547240392
692,ADAPTADOR TRANSF SOL.P DUP(TRANSOFIX),DESCARPACK,UN,PT C/ 100 UN,100,7898283817353
713,ADAPTADOR TRANSF SOLUCAO LOCK ,DESCARPACK,UN,CX C/100 UN,100,7898283817339
1405,ADAPTADOR UNIVERSAL P/FRASCO DE SOLUCAO,TKL,UN,CX C/100 UN,100,97898547240401
364,ADENOSINA 3 MG/ML INJ 2 ML,HIPOLABOR,AP,CX C/ 50 AP,50,7898470681804
2788,"ADOLESS 0,075 MG CP",FQM,CP,CX C/ 84 CP,84,17898040322137
1515,"ADOLESS 0,075 MG CP VP",FQM,CP,CX C/ 84 CP,84,7898040322137
373,ADREN 1 MG/ML INJ 1 ML,HIPOLABOR,AP,CX C/ 100 AP,100,7898123900023
483,AEROLIN 100 MCG/DOSE SUS INAL VP,GSK,FR,CX C/ 1 FR,1,7896269900150
1311,AFINITOR 10 MG CP,NOVARTIS,CP,CX C/ 30 CP,30,7896261016545
2454,"AFINITOR 2,5 MG CP",NOVARTIS,CP,CX C/ 30 CP,30,7896261018075
1336,AFINITOR 5 MG CP,NOVARTIS,CP,CX C/ 30 CP,30,7896261016538
339,"AGRASTAT 0,25 MG/ML INJ 50 ML",ASPEN PHARMA,FA,CX C/ 1 FA,1,7895858005849
3096,AGUA OXIGENADA 10 VOL 100 ML GOTAS,RIOQUIMICA,UN,UN,24,17897780200320
3126,AGUA OXIGENADA 10 VOL 1L,RIOQUIMICA,UN,CX C/ 12,12,17897780200313
2016,AGUA PARA INJECAO 10 ML INJ 10 ML,HALEX ISTAR,AP,CX C/ 200 AP,200,7898361700157
386,AGUA PARA INJECAO 10 ML INJ 10ML,EQUIPLEX,AP,CX C/ 200 AP,200,7898007676051
1011,AGUA PARA INJECAO 10 ML INJ 10ML,FARMACE,AP,CX C/ 200 AP,200,7898166040328
2860,AGUA PARA INJECAO 100 ML INJ 100 ML,EQUIPLEX,FR,CX C/ 70 FR,70,7898007677010
2017,AGUA PARA INJECAO 20 ML INJ 20 ML,HALEX ISTAR,AP,CX C/ 100 AP,100,7898361700195
2020,AGUA PARA INJECAO 5 ML INJ 5 ML,HALEX ISTAR,AP,CX C/ 200 AP,200,7898361700010
348,AGUA PARA INJECAO 500 ML INJ,EUROFARMA,FA,CX C/ 25 FA,25,7898919447398
3001,AGUA PARA INJECAO 5ML INJ,SAMTEC,UN,CX C/ 200 AP,200,17898415821071
434,AGUA PARA INJECAO INJ 100 ML,FRESENIUS,FR,CX C/ 80 FR,80,7897947706675
3224,AGUA PARA INJECAO INJ 100 ML,FARMARIN,FR,1 FR,1,7898179363728
2183,AGUA PARA INJECAO INJ 1000 ML,HALEX ISTAR,UN,CX C/ 15 BS,15,7896727843067
432,AGUA PARA INJECAO INJ 1000 ML ,FRESENIUS,FR,CX C/ 1 FR,1,7897947706705
1073,AGUA PARA INJECAO INJ 10ML,SAMTEC,UN,CX C/ 200 AP,200,17898415821019
3222,AGUA PARA INJECAO INJ 10ML,FARMARIN,UN,CX C/ 200 AP,200,7898179363339
1341,AGUA PARA INJECAO INJ 250 ML,FRESENIUS,FR,CX C/ 1 FR,1,7897947706682
86,AGUA PARA INJECAO INJ 250 ML ,CRISTALIA,FR,CX C/ 40 FR,40,7898153652503
2973,AGUA PARA INJECAO INJ 250 ML ,EQUIPLEX,FR,CX C/ 40 FR,40,7898007677447
1346,AGUA PARA INJECAO INJ 500 ML,FRESENIUS,FR,CX C/ 30 FR,30,7897947706699
3223,AGUA PARA INJECAO INJ 500 ML,FARMARIN,FR,1 FR,1,7898179363780
2963,AGUA PARA INJECAO INJ 500 ML,EQUIPLEX,FR,CX C/ 24 FR,24,7898007677034
87,AGUA PARA INJECAO INJ 500 ML ,CRISTALIA,FR,CX C/ 20 FR,20,7898153652510
2184,AGUA PARA INJECAO INJ 500 ML ,HALEX ISTAR,UN,CX C/ 30 BS,30,7896727843050
2624,AGUA PARA INJETAVEIS 20 ML INJ 20 ML,SAMTEC,UN,CX C/ 200 AP,200,17898415821026
2516,AGUA PARA INJEÇAO INJ 1000 ML,CRISTALIA,FR,CX C/ 12 FR,12,7898153652527
1615,AGUD 500+30 MG CP (A2),BIOLAB,CP,CX C/ 24 CP,24,7899551309266
1633,AGULHA ASPIRA 25X12 ,SR,UN,CX C/ 100 UN,100,7898259498494
816,AGULHA ASPIRA 25X12 ,SR,UN,CX C/ 100 UN,100,7898259491556
1851,AGULHA ASPIRA 25X12 (PONTA ROMBA),SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000059237
1690,AGULHA ASPIRA 40X12 PONTA ROMB S/FILTRO,SOL-MILLENNIUM,UN,CX C/ 100 UN,100,7890000003590
2623,AGULHA DESC. 13X03,SR,UN,CX C/ 100 UN,100,7898259491204
814,"AGULHA DESC. 13X3,8",SR,UN,CX C/ 100 UN,100,7898259491242
911,"AGULHA DESC. 13X4,5",DESCARPACK,UN,CX C/ 100 UN,100,7898283814208
2304,"AGULHA DESC. 13X4,5",SR,UN,CX C/ 100 UN,100,7898259491228
1687,"AGULHA DESC. 13X4,5 ",SOL-MILLENNIUM,UN,CX C/ 100 UN,100,1230000059398
1691,"AGULHA DESC. 13X4,5 DISP SEG",SOL-MILLENNIUM,UN,CX C/ 100 UN,100,7890000003595
823,"AGULHA DESC. 13X4,5 DISP SEG",SR,UN,CX C/100 UN ,100,17898259498668
2658,"AGULHA DESC. 13X4,5 DISP SEG VP",SR,UN,CX C/100 UN ,100,7898259498668
3334,"AGULHA DESC. 20X0,55",SR,UN,CX C/ 100 UN,100,7898259491297
966,"AGULHA DESC. 20X5,5 DISP SEG",SR,UN,CX C/ 100 UN,100,27898259498535
