10990100;DM Implantável Ativo (DMIA);Cameron Health, BV;4010EU;Q-Guide 4010;Cameron Health;Desfibrilhadores - acessórios (J010580);Componentes físicos que são especificamente utilizados para permitir o funcionamento do desfibrilhador implantável ou para complementar ou ampliar sua funcionalidade.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10990160;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4527;4527;EASYTRAK 3;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990178;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4525;4525;EASYTRAK 3;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990186;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4524;4524;EASYTRAK 3;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990356;DM Implantável Ativo (DMIA);Boston Scientific Corporation;P108;P108;COGNIS 100 HE;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990380;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H240;LIVIAN;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990399;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F111;F111;TELIGEN 100;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990445;DM Implantável Ativo (DMIA);Medtronic Inc. ;5554-53;CAPSURE;Medtronic;Electrocateteres auriculares com fixação passiva (J019001010101);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula do coração do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. O electrodo de fixação passiva é caracterizado pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os dispositivos descritos são de uso único";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10990453;DM Implantável Ativo (DMIA);SORIN BIOMEDICA CARDIO, S.r.l.;JW413;SITUS OTW BW28D;Sorin;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MICROPORT CRM PORTUGAL, LDA
10990526;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;3213-36;PROMOTE;St Jude Medical;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10990534;DM Implantável Ativo (DMIA);Medtronic Inc. ;5054-58;CAPSURE;Medtronic;Electrocateteres ventriculares com fixação passiva (J019001010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pelo ventrículo do coração do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. O electrodo de fixação passiva é caracterizado pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10990542;DM Implantável Ativo (DMIA);Boston Scientific Corporation;T177;VITALITY;GUIDANT;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990569;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H239;CONTAK RENEWAL 4 RF HE;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10990941;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;1056K;Quicksite;St. Jude Medical;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10990950;DM Implantável Ativo (DMIA);Medtronic Inc. ;6054-52;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10990968;DM Implantável Ativo (DMIA);Medtronic Inc. ;6054-65;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10990976;DM Implantável Ativo (DMIA);Medtronic Inc. ;6054-58;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10990984;DM Implantável Ativo (DMIA);Medtronic Inc. ;6054-53;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10990992;DM Implantável Ativo (DMIA);Boston Scientific Corporation;P107;P107;COGNIS 100 HE;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
