;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
C�D;CLASSIFICA��O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
9;ISENTO;NACIONAL;708,52;708,52;708,52;708,52;0;708,52;751,0312;708,52;708,52;0;0;708,52;0;0;708,52;0;708,52;708,52;0;0;708,52;708,52
10;ISENTO;NACIONAL;1481,73;1481,73;1481,73;1481,73;0;1481,73;1481,73;1481,73;1481,73;0;0;1481,73;0;0;1481,73;0;1481,73;1481,73;0;0;1481,73;1481,73
11;ISENTO;NACIONAL;2963,53;2963,53;2963,53;2963,53;0;2963,53;2963,53;2963,53;2963,53;0;0;2963,53;0;0;2963,53;0;2963,53;2963,53;0;0;2963,53;2963,53
28;ISENTO;IMPORTADO;88,14;88,14;88,14;88,14;0;88,14;103,18;88,14;88,14;0;0;88,14;0;0;88,14;0;88,14;88,14;0;0;88,14;88,14
30;TRIBUTADO;NACIONAL;345,97;350,41;0;363,22;0;0;0;0;0;0;0;0;0;333,46;317,49;335,69;337,84;337,84;346,73;0;345,97;0
32;ISENTO;IMPORTADO;5037,68;5037,68;5037,68;5037,68;0;5037,68;0;5037,68;5037,68;0;0;5037,68;0;0;5037,68;0;5037,68;5037,68;0;0;5037,68;5037,68
33;ISENTO;IMPORTADO;20150,71;20150,71;20150,71;20150,71;0;20150,71;0;20150,71;20150,71;0;0;20150,71;0;0;20150,71;0;20150,71;20150,71;0;0;20150,71;20150,71
34;ISENTO;IMPORTADO;6095,34;6095,34;6095,34;6095,34;0;6095,34;7136;6095,34;6095,34;0;0;6095,34;0;0;6095,34;0;6095,34;6095,34;0;0;6095,34;6095,34
46;ISENTO (EXCETO EM DF);NACIONAL;739,09;739,09;739,09;739,09;788,92;788,92;788,92;739,09;788,92;0;0;739,09;0;0;788,92;0;788,92;788,92;0;739,09;739,09;739,09
58;ISENTO;NACIONAL;7837,87;7837,87;7837,87;7837,87;0;7837,87;0;7837,87;7837,87;0;0;7837,87;0;0;7837,87;0;7837,87;7837,87;0;0;7837,87;7837,87
61;ISENTO;NACIONAL;78,77;78,77;78,77;78,77;0;78,77;84,08;78,77;78,77;0;0;78,77;0;0;78,77;0;78,77;78,77;0;0;78,77;78,77
62;ISENTO;NACIONAL;150,68;150,68;150,68;150,68;0;150,68;160,84;150,68;150,68;0;0;150,68;0;0;150,68;0;150,68;150,68;0;0;150,68;150,68
67;ISENTO;NACIONAL;1508,78;1508,78;1508,78;1508,78;0;1508,78;1609,36;1508,78;1508,78;0;0;1508,78;0;0;1508,78;0;1508,78;1508,78;0;0;1508,78;1508,78
68;ISENTO;NACIONAL;5841,85;5841,85;5841,85;5841,85;0;5841,85;6231,3;5841,85;5841,85;0;0;5841,85;0;0;5841,85;0;5841,85;5841,85;0;0;5841,85;5841,85
74;ISENTO;IMPORTADO;48,39;48,39;48,39;48,39;0;48,39;55,1646;48,39;48,39;0;0;48,39;0;0;48,39;0;48,39;48,39;0;0;48,39;48,39
77;ISENTO;IMPORTADO;10075,38;10075,38;10075,38;10075,38;0;10075,38;0;10075,38;10075,38;0;0;10075,38;0;0;10075,38;0;10075,38;10075,38;0;0;10075,38;10075,38
81;TRIBUTADO;NACIONAL;5,37;5,44;0;60,78;0;0;0;0;0;0;0;0;0;5,14;4,89;5,18;5,21;5,21;5,35;0;5,6;0
82;TRIBUTADO;NACIONAL;6,86;6,94;0;124,28;0;0;0;0;0;0;0;0;0;6,74;6,41;6,78;6,83;6,83;7,01;0;7,34;0
83;TRIBUTADO;IMPORTADO;456,2;462,21;0;437,04;0;456,21;0;459,18;462,21;0;0;474,7;0;459,18;397,53;0;489,76;489,76;0;0;456,2;0
85;TRIBUTADO;NACIONAL;26,5;26,84;0;26,64;0;0;0;0;0;0;0;0;0;25,4;24,16;25,56;25,73;25,73;26,41;0;27,64;0
86;TRIBUTADO;NACIONAL;90,38;91,55;0;90,86;0;0;0;0;0;0;0;0;0;86,62;82,39;87,18;87,74;87,74;90,08;0;94,27;0
87;ISENTO;NACIONAL;287,07;287,07;287,07;287,07;0;287,07;0;287,07;287,07;0;0;287,07;0;0;287,07;0;287,07;287,07;0;0;287,07;287,07
88;ISENTO;NACIONAL;509,65;509,65;509,65;509,65;0;509,65;0;509,65;509,65;0;0;509,65;0;0;509,65;0;509,65;509,65;0;0;509,65;509,65
89;ISENTO;NACIONAL;969,02;969,02;969,02;969,02;0;969,02;0;969,02;969,02;0;0;969,02;0;0;969,02;0;969,02;969,02;0;0;969,02;969,02
90;TRIBUTADO;NACIONAL;588,05;595,69;0;591,22;0;0;0;0;0;0;0;0;0;586,33;557,73;590,11;593,94;593,94;609,78;0;613,39;0
92;ISENTO;NACIONAL;278,26;278,26;278,26;278,26;0;278,26;294,9556;278,26;278,26;0;0;278,26;0;0;278,26;0;278,26;278,26;0;0;278,26;278,26
101;TRIBUTADO;NACIONAL;55,08;55,81;0;57,56;0;0;0;0;0;0;0;0;0;53,3;50,66;53,65;54;54;55,46;0;55,08;0
109;ISENTO;IMPORTADO;85,73;85,73;85,73;85,73;0;85,73;91,51;85,73;85,73;0;0;85,73;0;0;85,73;0;85,73;85,73;0;0;85,73;85,73
116;ISENTO;NACIONAL;929,38;929,38;929,38;929,38;929,38;929,38;986;929,38;929,38;0;0;929,38;0;0;929,38;0;929,38;929,38;0;929,38;929,38;929,38
121;ISENTO;IMPORTADO;0;0;0;1790,18;0;1790,18;2099,59;1790,18;1790,18;0;0;1790,18;0;0;1790,18;0;1790,18;1790,18;0;0;0;1790,18
123;TRIBUTADO;NACIONAL;1911,3216;1934,6304;0;1934,6304;0;0;0;0;0;0;0;0;0;1911,3216;1911,3216;1922,9088;1934,6304;1934,6304;0;0;1911,3216;0
131;ISENTO;NACIONAL;2158,72;2158,72;2158,72;2158,72;0;2158,72;0;2158,72;2158,72;0;0;2158,72;0;0;2158,72;0;2158,72;2158,72;0;0;2158,72;2158,72
132;ISENTO;NACIONAL;6897,38;6897,38;6897,38;6897,38;0;6897,38;0;6897,38;6897,38;0;0;6897,38;0;0;6897,38;0;6897,38;6897,38;0;0;6897,38;6897,38
161;TRIBUTADO;IMPORTADO;4900,39;4969,32;0;4969,32;0;4900,39;0;4934,62;4969,32;0;0;5113,2;0;4900,39;4900,39;0;4969,32;4969,32;0;0;4900,39;0
165;ISENTO;IMPORTADO;104,49;104,49;104,49;104,49;0;104,49;122,56;104,49;104,49;0;0;104,49;0;0;104,49;0;104,49;104,49;0;0;104,49;104,49
171;TRIBUTADO;IMPORTADO;11745,64;11896,23;0;11303,92;0;11745,75;0;11820,57;11896,34;0;0;12209,4;0;11820,34;10247,85;0;12605,34;12605,34;0;0;11745,53;0
172;TRIBUTADO;IMPORTADO;42,69;43,24;0;41,09;0;42,69;0;42,97;43,24;0;0;44,38;0;42,96;37,24;0;45,82;45,82;0;0;42,68;0
173;TRIBUTADO;IMPORTADO;51,49;52,15;0;49,56;0;51,49;0;51,82;52,15;0;0;53,53;0;51,82;44,93;0;55,26;55,26;0;0;51,49;0
177;TRIBUTADO;IMPORTADO;791,49;801,64;0;761,72;0;791,5;0;796,53;801,64;0;0;822,74;0;796,53;690,56;0;849,42;849,42;0;0;791,47;0
182;TRIBUTADO;NACIONAL;242,82;245,78;0;245,78;0;0;0;0;0;0;0;0;0;242,82;242,82;244,3;245,78;245,78;251,92;0;242,82;0
183;TRIBUTADO;IMPORTADO;53,68;54,37;0;51,65;0;53,67;0;54,02;54,37;0;0;55,8;0;54,02;46,83;0;57,6;57,6;0;0;53,68;0
190;ISENTO;NACIONAL;5364,72;5364,72;5364,72;5364,72;0;5364,72;5726,39;5364,72;5364,72;0;0;5364,72;0;0;5364,72;0;5364,72;5364,72;0;0;5364,72;5364,72
196;ISENTO;IMPORTADO;22,54;22,54;22,54;22,54;22,54;22,54;25,6956;22,54;22,54;0;0;22,54;0;0;22,54;0;22,54;22,54;0;0;22,54;22,54
205;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;238;226,53;239,52;241,06;241,06;247,4;0;258,83;0
206;TRIBUTADO;NACIONAL;96,56;97,8;0;102,64;0;0;0;0;0;0;0;0;0;94,36;89,82;94,97;95,57;95,57;98,09;0;97,76;0
212;ISENTO;NACIONAL;1337,3;1337,3;1337,3;1337,3;0;1337,3;1337,3;1337,3;1337,3;0;0;1337,3;0;0;1337,3;0;1337,3;1337,3;0;0;1337,3;1337,3
