CODIGO_INTERNO;             EAN;             RMS;             NOME_COMERCIAL;             APRESENTACAO;             MARCA;             DESCRICAO;             UNIDADE;             PRD_QT_EQUIVALENTE
6772         ;7898470681347;1134301780028;GENERICO                                          ;BISNAGA                       ;HIPOLABOR                     ;MICONAZOL CREME DERMATOLOGICO 28GR (G)                                                                                                                                                                  ;BISNAGA                       ;50                
8216         ;7898166041578;1108500390026;GENERICO                                          ;FRASCO                        ;FARMACE                       ;AMBROXOL XAROPE ADULTO 30MG/5ML 100ML (G)                                                                                                                                                               ;FRASCO                        ;60                
8895         ;7899470807201;9999999999999;KOLLANGEL                                         ;FRASCO                        ;NATULAB                       ;HIDROXIDO DE ALUMINIO+MAGNESIO SUSPENSAO 150ML                                                                                                                                                          ;FRASCO                        ;50                
1368         ;7898148298259;1256800820065;GENERICO                                          ;FRASCO                        ;PRATI DONADUZZI               ;FOSFATO SODICO DE PREDNISOLONA SUSPENSAO 1MG/ML 100ML (G)                                                                                                                                               ;FRASCO                        ;50                
8468         ;7898166041547;1108500390115;GENERICO                                          ;FRASCO                        ;FARMACE                       ;AMBROXOL XAROPE INFANTIL 15MG/5ML 120ML (G)                                                                                                                                                             ;FRASCO                        ;60                
7223         ;7898133134791;1384100330164;IBUPROTRAT                                        ;FRASCO                        ;NATULAB                       ;IBUPROFENO SUSPENSAO 20MG/ML 100ML                                                                                                                                                                      ;FRASCO                        ;50                
10906        ;7897917000970;1057100860027;PLABEL                                            ;FRASCO                        ;BELFAR                        ;METOCLOPRAMIDA GOTAS 4MG/ML 10ML                                                                                                                                                                        ;FRASCO                        ;1                 
6360         ;7898133131240;1384100030071;TYLEMAX                                           ;FRASCO                        ;NATULAB                       ;PARACETAMOL GOTAS 200MG/ML 15ML                                                                                                                                                                         ;FRASCO                        ;200               
11472        ;7898652371400;80495510019  ;I - BAIXO RISCO                                   ;CARTUCHO                      ;MEDIX                         ;LUVAS PROCEDIMENTO NITRILO S/ PO TAM. G - C/100                                                                                                                                                         ;CARTUCHO                      ;1                 
10422        ;7896523209098;1438101310038;GENERICO                                          ;FRASCO                        ;CIMED                         ;ACEBROFILINA 10MG/ML XAROPE ADULTO 120ML (G)                                                                                                                                                            ;FRASCO                        ;50                
1313         ;7897473201071;1101300430019;AEROGOLD                                          ;FRASCO                        ;GLENMARK                      ;SALBUTAMOL 100MCG SPRAY AEROSOL 200 DOSES                                                                                                                                                               ;FRASCO                        ;1                 
1687         ;7898148293346;1256800340063;GENERICO                                          ;FRASCO                        ;PRATI DONADUZZI               ;CARBOCISTEINA SUSPENSAO INFANTIL 20MG/ML 80ML (G)                                                                                                                                                       ;FRASCO                        ;50                
1344         ;7899547507461;1256800530059;GENERICO                                          ;BISNAGA                       ;PRATI DONADUZZI               ;MICONAZOL 20MG/G CREME VAGINAL 80GR (G) + APLICADORES                                                                                                                                                   ;BISNAGA                       ;50                
1971         ;7898148293728;1256800370027;GENERICO                                          ;POTE                          ;PRATI DONADUZZI               ;SULFADIAZINA DE PRATA CREME 10MG/GR 400GR (G)                                                                                                                                                           ;POTE                          ;1                 
8702         ;7898166041622;1108500140038;NIDAZOFARMA                                       ;FRASCO                        ;FARMACE                       ;METRONIDAZOL 0,5% INJETAVEL BOLSA 100ML                                                                                                                                                                 ;FRASCO                        ;60                
8875         ;7898148297535;1256801010032;GENERICO                                          ;BISNAGA                       ;PRATI DONADUZZI               ;TINIDAZOL+MICONAZOL CR.VAG. 45 GR (G) + APLICADORES                                                                                                                                                     ;BISNAGA                       ;1                 
11693        ;7896006237556;1049714060044;NORMASTIG                                         ;AMPOLA                        ;UNIAO QUIMICA                 ;NEOSTIGMINA INJETAVEL 0,5MG/ML 1ML IM/IV                                                                                                                                                                ;AMPOLA                        ;50                
9158         ;7898148294466;1256800440041;GENERICO                                          ;BISNAGA                       ;PRATI DONADUZZI               ;METRONIDAZOL+NISTATINA CREME VAGINAL 50GR (G)+APLICADORES                                                                                                                                               ;BISNAGA                       ;50                
3516         ;7898361700324;1031101530019;GENERICO                                          ;BOLSA                         ;ISOFARMA                      ;LEVOFLOXACINO INJETAVEL 5MG/ML BOLSA 100ML (G)                                                                                                                                                          ;BOLSA                         ;1                 
9602         ;7896137123797;1071402490023;GENERICO                                          ;BISNAGA                       ;SANVAL                        ;DEXAMETASONA CREME 1MG/GR 10GR (G)                                                                                                                                                                      ;BISNAGA                       ;50                
156          ;7896676405262;1029800530253;NEOCAINA ISOBARICA                                ;AMPOLA                        ;CRISTALIA                     ;BUPIVACAINA ISOBARICA 0,5% SP INJETAVEL 4ML                                                                                                                                                             ;AMPOLA                        ;40                
573          ;7896676405644;1029803570108;XYLESTESIN                                        ;FRASCO                        ;CRISTALIA                     ;LIDOCAINA SPRAY 10% 50ML                                                                                                                                                                                ;FRASCO                        ;1                 
651          ;7896137101405;1071400990029;VITADESAN                                         ;FRASCO                        ;SANVAL                        ;VITAMINA A 3.000UI + D 800UI 10ML GOTAS                                                                                                                                                                 ;FRASCO                        ;50                
445          ;7898166040328;1108500110066;FARMACE -AGUA PARA INJECAO IV                     ;FRASCO-AMPOLA                 ;FARMACE                       ;AGUA PARA INJETAVEIS PLASTICO 10ML                                                                                                                                                                      ;FRASCO-AMPOLA                 ;1                 
9634         ;7896137650118;1049100200281;GLICOSE 5%                                        ;BOLSA                         ;JP                            ;SORO GLICOSADO 05% 1000ML BOLSA SIST. FECHADO                                                                                                                                                           ;BOLSA                         ;10                
3049         ;7898945443012;80105840002  ;I - BAIXO RISCO                                   ;CARTUCHO                      ;SUPERMAX                      ;LUVAS PROCEDIMENTO TAM. XP. C/100                                                                                                                                                                       ;CARTUCHO                      ;1                 
8823         ;7898122913260;1038700560087;BICARBONATO DE SODIO                              ;FRASCO                        ;HYPOFARMA                     ;BICARBONATO DE SODIO 8,4% INJETAVEL 250ML SIST. FECH                                                                                                                                                    ;FRASCO                        ;35                
8012         ;7899547507027;1256802090080;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;SULFAMETOXAZOL+TRIMETOPRIMA 400/80MG CP FRACIONAVEL (G)                                                                                                                                                 ;COMPRIMIDO                    ;120               
302          ;7896112125969;1037004630062;ANDROCORTIL                                       ;FRASCO-AMPOLA                 ;TEUTO                         ;HIDROCORTISONA INJETAVEL 500MG S/DILUENTE                                                                                                                                                               ;FRASCO-AMPOLA                 ;50                
8444         ;7898148291304;1256801510027;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;METFORMINA 850MG COMPRIMIDO (G)                                                                                                                                                                         ;COMPRIMIDO                    ;200               
9015         ;7893454213118;1044001570030;ENDROSTAN                                         ;COMPRIMIDO                    ;DELTA                         ;ALENDRONATO DE SODIO 70 MG COMPRIMIDO                                                                                                                                                                   ;COMPRIMIDO                    ;4                 
4863         ;7899547503869;1256801910033;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;ALOPURINOL 100MG COMPRIMIDO (G)                                                                                                                                                                         ;COMPRIMIDO                    ;600               
1318         ;7896714200699;1558400780045;CORTICORTEN                                       ;COMPRIMIDO                    ;NEOQUIMICA                    ;PREDNISONA 20MG COMPRIMIDO                                                                                                                                                                              ;COMPRIMIDO                    ;20                
7598         ;7896714203492;1558401870021;FLUXON                                            ;COMPRIMIDO                    ;NEOQUIMICA                    ;CINARIZINA 75MG COMPRIMIDO                                                                                                                                                                              ;COMPRIMIDO                    ;30                
4580         ;7898148294459;1256801820034;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;METRONIDAZOL 250MG COMPRIMIDO (G)                                                                                                                                                                       ;COMPRIMIDO                    ;600               
8390         ;7898947385730;1553700400085;GENERICO                                          ;COMPRIMIDO                    ;ACCORD                        ;SUCCINATO DE METOPROLOL XR 50MG COMPRIMIDO (G)                                                                                                                                                          ;COMPRIMIDO                    ;30                
2121         ;7895858002381;1376400400043;ALDOSTERIN                                        ;COMPRIMIDO                    ;ASPEN PHARMA                  ;ESPIRONOLACTONA 25MG COMPRIMIDO                                                                                                                                                                         ;COMPRIMIDO                    ;200               
10572        ;7897076921796;1235200480211;GENERICO                                          ;COMPRIMIDO                    ;RANBAXY                       ;SINVASTATINA 40MG COMPRIMIDO (G)                                                                                                                                                                        ;COMPRIMIDO                    ;1000              
9129         ;7899095210417;1542300090040;TRAXONOL                                          ;CÁPSULA                       ;GEOLAB                        ;ITRACONAZOL 100MG CAPSULA                                                                                                                                                                               ;CÁPSULA                       ;250               
8996         ;7899547510126;1256802590148;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;DICLORIDRATO DE BETAISTINA 24MG COMPRIMIDO (G)                                                                                                                                                          ;COMPRIMIDO                    ;60                
2163         ;7896241241462;1097401210160;ARADOIS                                           ;COMPRIMIDO                    ;BIOLAB                        ;LOSARTANA POTASSICA 25MG COMPRIMIDO                                                                                                                                                                     ;COMPRIMIDO                    ;60                
692          ;7898216361601;1410700590021;GENERICO                                          ;COMPRIMIDO                    ;PHARLAB                       ;DIGOXINA 0,25MG COMPRIMIDO (G)                                                                                                                                                                          ;COMPRIMIDO                    ;500               
7860         ;7896202500768;ISENTO       ;FIXA-CAL                                          ;COMPRIMIDO                    ;VITAMED                       ;CARBONATO DE CALCIO 500MG+VITAMINA D 200U COMPRIMIDO                                                                                                                                                    ;COMPRIMIDO                    ;500               
7981         ;7899547502138;1256801830102;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;AZITROMICINA 500MG COMPRIMIDO FRACIONAVEL (G)                                                                                                                                                           ;COMPRIMIDO                    ;150               
10725        ;7898133138577;1384100480026;BEVITER                                           ;COMPRIMIDO                    ;NATULAB                       ;TIAMINA 300MG COMPRIMIDO                                                                                                                                                                                ;COMPRIMIDO                    ;500               
7742         ;7899470801087;1384100530031;ESPINHEIRA SANTA                                  ;CÁPSULA                       ;NATULAB                       ;ESPINHEIRA SANTA 380MG                                                                                                                                                                                  ;CÁPSULA                       ;750               
8942         ;7899547514407;1256802380119;GENERICO                                          ;CÁPSULA                       ;PRATI DONADUZZI               ;GABAPENTINA 400MG CAPSULA (G) (C1)***                                                                                                                                                                   ;CÁPSULA                       ;300               
572          ;7896676403374;1029800280151;LEVOZINE                                          ;COMPRIMIDO                    ;CRISTALIA                     ;LEVOMEPROMAZINA 100MG COMPRIMIDO (C1)***                                                                                                                                                                ;COMPRIMIDO                    ;200               
8737         ;7899547503685;1256802320078;GENERICO                                          ;FRASCO                        ;PRATI DONADUZZI               ;RISPERIDONA SOLUCAO ORAL 1MG/ML 30ML (G) (C1)***                                                                                                                                                        ;FRASCO                        ;100               
3579         ;7898910350024;1565100050011;GENERICO                                          ;COMPRIMIDO                    ;ZYDUS                         ;PAROXETINA 20MG COMPRIMIDO (G) (C1)***                                                                                                                                                                  ;COMPRIMIDO                    ;30                
89           ;7896676400182;1029800970148;DIMORF                                            ;AMPOLA                        ;CRISTALIA                     ;MORFINA INJETAVEL SP 0,2MG/ML 1ML (A1)***                                                                                                                                                               ;AMPOLA                        ;50                
2467         ;7896112115274;1037004950040;GENERICO                                          ;COMPRIMIDO                    ;TEUTO                         ;BROMAZEPAM 3MG COMPRIMIDO (G) (B1)***                                                                                                                                                                   ;COMPRIMIDO                    ;100               
565          ;7896676405194;1029800200253;HALO                                              ;COMPRIMIDO                    ;CRISTALIA                     ;HALOPERIDOL 5MG COMPRIMIDO (C1)***                                                                                                                                                                      ;COMPRIMIDO                    ;200               
5075         ;7898123909354;1134301670044;GENERICO                                          ;COMPRIMIDO                    ;HIPOLABOR                     ;CARBONATO DE LITIO 300MG COMPRIMIDO (G) (C1)***                                                                                                                                                         ;COMPRIMIDO                    ;500               
10680        ;7896676431292;1029802400047;HALO DECANOATO                                    ;AMPOLA                        ;CRISTALIA                     ;HALOPERIDOL DECANOATO INJETAVEL 50MG/ML 1ML (C1)***                                                                                                                                                     ;AMPOLA                        ;25                
7330         ;7896714212203;1558402980025;GENERICO                                          ;COMPRIMIDO                    ;NEOQUIMICA                    ;BROMAZEPAM 3MG COMPRIMIDO (G) (B1)***                                                                                                                                                                   ;COMPRIMIDO                    ;30                
9760         ;7908007901098;80011990003  ;MEDIDOR DE GLICOSE                                ;Unidade                       ;ACON                          ;MEDIDOR DE GLICOSE SIMPLES ON CALL PLUS AMARELO                                                                                                                                                         ;Unidade                       ;1                 
9314         ;7899547508048;1256802620195;GENERICO                                          ;COMPRIMIDO                    ;PRATI DONADUZZI               ;PANTOPRAZOL 40MG COMPRIMIDO (G)                                                                                                                                                                         ;COMPRIMIDO                    ;280               
7172         ;7898133136580;1384100500167;AFOLIC                                            ;COMPRIMIDO                    ;NATULAB                       ;ACIDO FOLICO 5MG COMPRIMIDO                                                                                                                                                                             ;COMPRIMIDO                    ;500               
564          ;7898123902546;1134301530031;GENERICO                                          ;COMPRIMIDO                    ;HIPOLABOR                     ;FUROSEMIDA 40MG COMPRIMIDO (G)                                                                                                                                                                          ;COMPRIMIDO                    ;500               
9779         ;7896014687923;1163701360062;GENERICO                                          ;FRASCO-AMPOLA                 ;BLAU                          ;CEFTRIAXONA DI H PO INJETAVEL 1G IV S/DILUENTE (G)                                                                                                                                                      ;FRASCO-AMPOLA                 ;100               
9759         ;7908007901173;80560310031  ;ON CALL PLUS II                                   ;Unidade                       ;ACON                          ;TIRAS TESTE GLICOSE ON CALL PLUS                                                                                                                                                                        ;Unidade                       ;50                
8957         ;7898166041189;1108500350059;GENERICO                                          ;FRASCO                        ;FARMACE                       ;DEXAMETASONA ELIXIR 0,1MG/ML 120ML (G)                                                                                                                                                                  ;FRASCO                        ;60                
