CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
58           ;21120276                      ;011221    ;010623    ;300       
59           ;22040709                      ;110422    ;300425    ;10        
59           ;22070721                      ;070722    ;300725    ;180       
59           ;22080221                      ;010822    ;300825    ;320       
61           ;9045058                       ;081021    ;300423    ;1         
75           ;22060296                      ;010622    ;300624    ;16        
89           ;22040007                      ;010422    ;300424    ;8         
89           ;22050135                      ;010522    ;300524    ;8         
114          ;D-053/21M                     ;290821    ;300123    ;1         
128          ;AD-005/22                     ;150222    ;300124    ;23        
128          ;AD-015/22                     ;210322    ;280224    ;108       
128          ;AD-034/22                     ;120622    ;300524    ;120       
132          ;22031320                      ;110322    ;300324    ;424       
160          ;AH-001/22M                    ;020922    ;300824    ;100       
168          ;2501206                       ;110522    ;300524    ;27        
168          ;2501208                       ;080722    ;300724    ;4         
181          ;8985068                       ;180522    ;300524    ;106       
227          ;AP-031/22M                    ;200622    ;300524    ;320       
240          ;9069465                       ;190822    ;300824    ;25        
240          ;9069466                       ;220822    ;300824    ;140       
240          ;9069467                       ;220822    ;220824    ;56        
240          ;9069467                       ;220822    ;300824    ;140       
241          ;9068115                       ;020922    ;300924    ;6         
269          ;H-092/22M                     ;310722    ;300624    ;1643      
281          ;21H05M                        ;040821    ;300823    ;76        
281          ;21H675                        ;020821    ;300823    ;1821      
281          ;21H676                        ;030821    ;300823    ;1200      
281          ;21H678                        ;030821    ;300823    ;982       
281          ;21H681                        ;040821    ;300823    ;2273      
281          ;21I87H                        ;200921    ;300923    ;952       
281          ;21I88H                        ;200921    ;300923    ;1780      
282          ;AS-021/22M                    ;170322    ;280224    ;415       
302          ;25961355                      ;010520    ;300522    ;60        
302          ;25961476                      ;070122    ;300124    ;13        
302          ;25961489                      ;220322    ;300324    ;24        
302          ;25961546                      ;250822    ;300824    ;15        
302          ;25961547                      ;250822    ;300824    ;5         
302          ;25961549                      ;260822    ;300824    ;17        
302          ;25961559                      ;250822    ;300824    ;3         
322          ;AP-021/22M                    ;290322    ;290224    ;152       
322          ;AP-023/22M                    ;060422    ;310324    ;134       
333          ;BMO                           ;220622    ;300524    ;19        
334          ;21H10555D                     ;180821    ;300823    ;83        
345          ;22E8359C                      ;010522    ;300524    ;5         
348          ;AT-022/22M                    ;070422    ;300324    ;114       
348          ;AT-026/22M                    ;120422    ;300324    ;2000      
360          ;5198489                       ;050122    ;300124    ;4         
360          ;5198513                       ;180222    ;280224    ;24        
364          ;DP22H296                      ;130822    ;300824    ;2189      
364          ;DP22H297                      ;140822    ;300824    ;2178      
364          ;DP22H298                      ;150822    ;300824    ;520       
369          ;21110748                      ;181121    ;301123    ;21        
369          ;22040643                      ;050422    ;300424    ;32        
375          ;AU-011/22                     ;230622    ;300524    ;119       
375          ;AU-013/22                     ;050722    ;300624    ;320       
375          ;AU-015/22                     ;220722    ;300624    ;800       
375          ;AU-016/22                     ;090822    ;300724    ;1024      
430          ;QAQ                           ;060722    ;300624    ;430       
430          ;QAR                           ;060722    ;300624    ;285       
430          ;QJA                           ;280922    ;310824    ;424       
430          ;QJB                           ;280922    ;310824    ;308       
430          ;QJC                           ;290922    ;310824    ;435       
430          ;QJD                           ;290922    ;310824    ;217       
430          ;QJE                           ;290922    ;310824    ;116       
440          ;LL-056/22                     ;140722    ;300624    ;30        
440          ;LL-057/22                     ;140722    ;300624    ;418       
440          ;LL-173/22                     ;270922    ;300824    ;343       
440          ;LL-174/22                     ;270922    ;300824    ;131       
440          ;LL-175/22                     ;270922    ;300824    ;542       
445          ;22E10459D                     ;100522    ;300524    ;456       
445          ;22E10464D                     ;110522    ;300524    ;345       
445          ;22E10465D                     ;110522    ;300524    ;456       
445          ;22E20162G                     ;100522    ;300524    ;456       
445          ;22E20163G                     ;100522    ;300524    ;471       
445          ;22E20165G                     ;120522    ;300524    ;456       
445          ;22E20167G                     ;130522    ;300524    ;471       
445          ;22F20224G                     ;290622    ;300624    ;298       
445          ;22G10634D                     ;010722    ;300724    ;12        
445          ;22G10635D                     ;010722    ;300724    ;446       
445          ;22G10640D                     ;040722    ;300724    ;420       
445          ;22G10641D                     ;040722    ;300724    ;442       
445          ;22G10642D                     ;040722    ;300724    ;457       
445          ;22G10643D                     ;040722    ;300724    ;442       
445          ;22G10644D                     ;050722    ;300724    ;450       
445          ;22G10646D                     ;050722    ;300724    ;449       
445          ;22G10647D                     ;050722    ;300724    ;435       
445          ;22G10648D                     ;050722    ;300724    ;443       
445          ;22G10649D                     ;060722    ;300724    ;254       
445          ;22G20227G                     ;010722    ;300724    ;452       
445          ;22H10762D                     ;110822    ;300824    ;151       
445          ;22H10767D                     ;130822    ;300824    ;415       
445          ;22H10771D                     ;140822    ;300824    ;440       
445          ;22H10772D                     ;140822    ;300824    ;450       
445          ;22H10773D                     ;150822    ;300824    ;450       
445          ;22H10774D                     ;150822    ;300824    ;130       
445          ;22H20272G                     ;070822    ;300824    ;123       
445          ;22H20273G                     ;070822    ;300824    ;459       
445          ;22H20274G                     ;080822    ;300824    ;464       
445          ;22H20275G                     ;090822    ;300824    ;455       
445          ;22H20278G                     ;110822    ;300824    ;290       
445          ;22H20279G                     ;120822    ;300824    ;462       
445          ;22H20280G                     ;130822    ;300824    ;453       
445          ;22H20281G                     ;130822    ;300824    ;258       
481          ;9211072                       ;160821    ;300823    ;21        
481          ;9211074                       ;160821    ;300823    ;4         
481          ;9211075                       ;071021    ;301023    ;4         
484          ;2505694                       ;280622    ;300624    ;177       
484          ;2505697                       ;210722    ;300724    ;18        
484          ;2505698                       ;210722    ;210724    ;42        
491          ;BA046                         ;261121    ;301023    ;132       
501          ;9070122                       ;251121    ;301123    ;32        
501          ;9070124                       ;261121    ;301123    ;48        
501          ;9070125                       ;211221    ;301223    ;32        
501          ;9070127                       ;300622    ;300624    ;16        
