;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
Cï¿½D;CLASSIFICAï¿½ï¿½O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
9;CONVÊNIO 118;NACIONAL;785,68;785,68;785,68;785,68;0;785,68;832,82;785,68;785,68;0;0;785,68;0;0;785,68;0;785,68;785,68;0;0;785,68;785,68
10;CONVÊNIO 118;NACIONAL;1643,09;1643,09;1643,09;1643,09;0;1643,09;1834,15;1643,09;1643,09;0;0;1643,09;0;0;1643,09;0;1643,09;1643,09;0;0;1643,09;1643,09
11;CONVÊNIO 118;NACIONAL;3286,25;3286,25;3286,25;3286,25;0;3286,25;3668,37;3286,25;3286,25;0;0;3286,25;0;0;3286,25;0;3286,25;3286,25;0;0;3286,25;3286,25
28;CONVÊNIO 118;IMPORTADO;97,74;97,74;97,74;97,74;0;97,74;113,04;97,74;97,74;0;0;97,74;0;0;97,74;0;97,74;97,74;0;0;97,74;97,74
30;TRIBUTADO;NACIONAL;383,65;383,65;0;402,78;0;0;0;0;0;0;0;0;0;366,49;344,42;368,85;371,25;371,25;381,14;0;383,65;0
32;ISENTO;IMPORTADO;5586,28;5586,28;5586,28;5586,28;0;5586,28;0;5586,28;5586,28;0;0;5586,28;0;0;5586,28;0;5586,28;5586,28;0;0;5586,28;5586,28
33;ISENTO;IMPORTADO;22345,12;22345,12;22345,12;22345,12;0;22345,12;0;22345,12;22345,12;0;0;22345,12;0;0;22345,12;0;22345,12;22345,12;0;0;22345,12;22345,12
34;CONVÊNIO 118;IMPORTADO;6759,12;6759,12;6759,12;6759,12;0;6759,12;7817,77;6759,12;6759,12;0;0;6759,12;0;0;6759,12;0;6759,12;6759,12;0;0;6759,12;6759,12
45;TRIBUTADO;IMPORTADO;119,81;121,27;0;121,27;0;119,81;0;120,53;121,27;0;0;124,3;0;119,81;119,81;0;121,27;121,27;0;0;119,81;0
46;CONVÊNIO 118;NACIONAL;819,58;819,58;874,27;874,27;874,27;874,27;882,32;874,27;874,27;0;0;874,27;0;0;814,89;0;814,89;814,89;0;874,27;874,27;874,27
58;ISENTO (EXCETO EM DF);NACIONAL;8691,41;8691,41;8691,41;8691,41;0;8691,41;0;8691,41;8691,41;0;0;8691,41;0;0;8691,41;0;8691,41;8691,41;0;0;8691,41;8691,41
61;CONVÊNIO 118;NACIONAL;87,35;87,35;87,35;87,35;0;87,35;93,24;87,35;87,35;0;0;87,35;0;0;87,35;0;87,35;87,35;0;0;87,35;87,35
62;CONVÊNIO 118;NACIONAL;167,09;167,09;167,09;167,09;0;167,09;186,75;167,09;167,09;0;0;167,09;0;0;167,09;0;167,09;167,09;0;0;167,09;167,09
67;CONVÊNIO 118;NACIONAL;1673,09;1673,09;1673,09;1673,09;0;1673,09;1867,63;1673,09;1673,09;0;0;1673,09;0;0;1673,09;0;1673,09;1673,09;0;0;1673,09;1673,09
68;CONVÊNIO 118;NACIONAL;6478,03;6478,03;6478,03;6478,03;0;6478,03;7231,28;6478,03;6478,03;0;0;6478,03;0;0;6478,03;0;6478,03;6478,03;0;0;6478,03;6478,03
74;CONVÊNIO 118;IMPORTADO;53,66;53,66;53,66;53,66;0;53,66;64,65;53,66;53,66;0;0;53,66;0;0;53,66;0;53,66;53,66;0;0;53,66;53,66
77;ISENTO;IMPORTADO;11172,59;11172,59;11172,59;11172,59;0;11172,59;0;11172,59;11172,59;0;0;11172,59;0;0;11172,59;0;11172,59;11172,59;0;0;11172,59;11172,59
81;TRIBUTADO;NACIONAL;5,85;5,85;0;5,98;0;0;0;0;0;0;0;0;0;5,55;5,21;5,58;5,62;5,62;5,77;0;6,21;0
82;TRIBUTADO;NACIONAL;7,67;7,67;0;7,84;0;0;0;0;0;0;0;0;0;7,27;6,83;7,32;7,36;7,36;7,56;0;8,13;0
83;TRIBUTADO;IMPORTADO;505,88;505,88;0;484,63;0;505,89;0;509,2;512,54;0;0;526,39;0;525,04;440,79;0;532,87;532,87;0;0;505,88;0
85;TRIBUTADO;NACIONAL;28,91;28,91;0;29,54;0;0;0;0;0;0;0;0;0;27,39;25,72;27,57;27,75;27,75;28,5;0;30,65;0
86;TRIBUTADO;NACIONAL;98,6;98,6;0;100,76;0;0;0;0;0;0;0;0;0;93,41;87,72;94,03;94,64;94,64;97,2;0;104,54;0
87;ISENTO (EXCETO EM DF);NACIONAL;287,07;287,07;287,07;287,07;0;287,07;0;287,07;287,07;0;0;287,07;0;0;287,07;0;287,07;287,07;0;0;287,07;287,07
88;ISENTO (EXCETO EM DF);NACIONAL;509,65;509,65;509,65;509,65;0;509,65;0;509,65;509,65;0;0;509,65;0;0;509,65;0;509,65;509,65;0;0;509,65;509,65
89;ISENTO (EXCETO EM DF);NACIONAL;969,02;969,02;969,02;969,02;0;969,02;0;969,02;969,02;0;0;969,02;0;0;969,02;0;969,02;969,02;0;0;969,02;969,02
90;TRIBUTADO;NACIONAL;641,56;641,56;0;655,6;0;0;0;0;0;0;0;0;0;607,83;570,81;611,84;615,83;615,83;632,49;0;680,19;0
92;CONVÊNIO 118;NACIONAL;298,82;298,82;298,82;298,82;0;298,82;333,97;298,82;298,82;0;0;298,82;0;0;298,82;0;298,82;298,82;0;0;298,82;298,82
101;TRIBUTADO;NACIONAL;61,08;61,08;0;63,83;0;0;0;0;0;0;0;0;0;59,1;56,18;59,49;59,88;59,88;61,5;0;61,08;0
109;CONVÊNIO 118;NACIONAL;95,07;95,07;95,07;95,07;0;95,07;106,26;95,07;95,07;0;0;95,07;0;0;95,07;0;95,07;95,07;0;0;95,07;95,07
116;CONVÊNIO 118;NACIONAL;1030,59;1030,59;1030,59;1030,59;1030,589482;1030,59;1093,38;1030,59;1030,59;0;0;1030,59;0;0;1030,59;0;1030,59;1030,59;0;1030,589482;1030,59;1030,59
121;CONVÊNIO 118;IMPORTADO;0;0;0;0;0;0;1985,13;0;1985,13;0;0;0;0;0;0;0;1985,13;1985,13;0;0;0;1985,13
123;TRIBUTADO;NACIONAL;1894,64;1919,24;0;1936,08;0;0;0;0;0;0;0;0;0;1795,01;1685,68;1806,86;1818,65;1818,65;1867,84;0;2008,71;0
131;ISENTO (EXCETO EM DF);NACIONAL;2393,81;2393,81;2393,81;2393,81;0;2393,81;0;2393,81;2393,81;0;0;2393,81;0;0;2393,81;0;2393,81;2393,81;0;0;2393,81;2393,81
132;ISENTO (EXCETO EM DF);NACIONAL;7648,5;7648,5;7648,5;7648,5;0;7648,5;0;7648,5;7648,5;0;0;7648,5;0;0;7648,5;0;7648,5;7648,5;0;0;7648,5;7648,5
152;TRIBUTADO;NACIONAL;59,67;60,4;0;60,4;0;0;0;0;0;0;0;0;0;59,67;59,67;60,04;60,4;60,4;61,91;0;59,67;0
161;TRIBUTADO;IMPORTADO;5434,04;5434,04;0;5510,48;0;5434,04;0;5471,99;5510,48;0;0;5670,02;0;5434,04;5434,04;0;5510,48;5510,48;0;0;5434,04;0
165;CONVÊNIO 118;IMPORTADO;115,87;115,87;115,87;115,87;0;115,87;134,24;115,87;115,87;0;0;115,87;0;0;115,87;0;115,87;115,87;0;0;115,87;115,87
171;TRIBUTADO;IMPORTADO;13024,61;13024,61;0;12534,92;0;13024,86;0;13107,82;13191,85;0;0;13539;0;13473,15;11363,27;0;13668,23;13668,23;0;0;13024,61;0
172;TRIBUTADO;IMPORTADO;47,34;47,34;0;45,56;0;47,34;0;47,65;47,95;0;0;49,21;0;47,64;41,3;0;50,81;50,81;0;0;47,33;0
173;TRIBUTADO;IMPORTADO;57,1;57,1;0;54,95;0;57,1;0;57,46;57,83;0;0;59,35;0;59,07;49,82;0;59,92;59,92;0;0;57,1;0
177;TRIBUTADO;IMPORTADO;877,68;877,68;0;844,67;0;877,69;0;883,28;888,94;0;0;912,34;0;907,91;765,73;0;921,05;921,05;0;0;877,66;0
182;TRIBUTADO;IMPORTADO;269,27;269,27;0;272,56;0;0;0;0;0;0;0;0;0;269,27;269,27;270,9;272,56;272,56;279,38;0;269,27;0
183;TRIBUTADO;IMPORTADO;59,52;60,28;0;52,56;0;59,52;0;59,9;60,28;0;0;61,87;0;61,58;61,58;0;62,33;62,33;0;0;59,52;0
190;CONVÊNIO 118;NACIONAL;5948,93;5948,93;5948,93;5948,93;0;5948,93;5948,93;5948,93;5948,93;0;0;5948,93;0;0;5948,93;0;5948,93;5948,93;0;0;5948,93;5948,93
196;CONVÊNIO 118;IMPORTADO;24,64;24,64;24,64;24,64;24,64;24,64;28,8;24,64;24,64;0;0;24,64;0;0;24,64;0;24,64;24,64;0;0;24,64;24,64
205;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;263,92;251,2;265,6;267,31;267,31;274,34;0;287,02;0
206;TRIBUTADO;NACIONAL;107,08;107,08;0;113,82;0;0;0;0;0;0;0;0;0;103,56;97,32;104,23;104,91;104,91;107,7;0;108,41;0
212;CONVÊNIO 118;NACIONAL;1482,93;1482,93;1482,93;1482,93;0;1482,93;1655,36;1482,93;1482,93;0;0;1482,93;0;0;1482,93;0;1482,93;1482,93;0;0;1482,93;1482,93
214;TRIBUTADO;IMPORTADO;891,18;891,18;0;902,05;0;891,18;0;896,58;902,05;0;0;924,6;0;891,18;891,18;0;902,05;902,05;0;0;891,18;0
215;TRIBUTADO;IMPORTADO;286,6;286,6;0;290,09;0;286,6;0;288,33;290,09;0;0;297,34;0;286,6;286,6;0;290,09;290,09;0;0;286,6;0
221;CONVÊNIO 118;IMPORTADO;77,25;77,25;77,25;77,25;77,245974;77,25;90,6;77,25;77,25;0;0;77,25;0;0;77,25;0;77,25;77,25;0;0;77,25;77,25
222;CONVÊNIO 118;IMPORTADO;126,46;126,46;126,46;126,46;126,458956;126,46;148,33;126,46;126,46;0;0;126,46;0;0;126,46;0;126,46;126,46;0;0;126,46;126,46
230;TRIBUTADO;IMPORTADO;9705,85;9705,85;0;9824,22;0;9705,85;0;9764,68;9824,22;0;0;10069,83;0;9705,85;9705,85;0;9824,22;9824,22;0;0;9705,85;0
231;TRIBUTADO;IMPORTADO;14558,77;14558,77;0;14736,31;0;14558,77;0;14647;14736,31;0;0;15104,73;0;14558,77;14558,77;0;14736,31;14736,31;0;0;14558,77;0
248;TRIBUTADO;NACIONAL;295,47;299,26;0;269,29;0;0;0;0;0;0;0;0;0;264;248,11;265,72;267,43;267,43;274,57;0;295,48;0
249;TRIBUTADO;NACIONAL;528,84;528,84;0;535,29;0;0;0;0;0;0;0;0;0;528,84;528,84;532,05;535,29;535,29;548,68;0;528,84;0
251;CONVÊNIO 118;IMPORTADO;60,82;60,82;60,82;60,82;0;60,82;70,46;60,82;60,82;0;0;60,82;0;0;60,82;0;60,82;60,82;0;0;60,82;60,82
252;CONVÊNIO 118;IMPORTADO;144,45;144,45;144,45;144,45;0;144,45;167,07;144,45;144,45;0;0;144,45;0;0;144,45;0;144,45;144,45;0;0;144,45;144,45
268;TRIBUTADO;NACIONAL;669,24;669,24;0;677,4;0;0;0;0;0;0;0;0;0;669,24;669,24;673,3;677,4;677,4;694,34;0;669,24;0
271;TRIBUTADO;NACIONAL;587,64;587,64;0;594,8;0;0;0;0;0;0;0;0;0;587,64;587,64;591,2;594,8;594,8;609,68;0;587,64;0
273;TRIBUTADO;IMPORTADO;49,61;49,61;0;50,22;0;49,61;0;49,92;50,22;0;0;51,48;0;49,61;49,61;0;50,22;50,22;0;0;49,61;0
277;TRIBUTADO;IMPORTADO;166,41;166,41;0;155,39;0;166,41;0;167,48;168,57;0;0;173,07;0;172,42;145,09;0;174,95;174,95;0;0;166,41;0
278;TRIBUTADO;IMPORTADO;310,74;310,74;0;290,15;0;310,73;0;312,73;314,76;0;0;323,16;0;321,96;270,92;0;326,69;326,69;0;0;310,73;0
279;TRIBUTADO;IMPORTADO;580,24;580,24;0;541,83;0;580,23;0;583,98;587,77;0;0;603,44;0;601,21;505,91;0;610,04;610,04;0;0;580,24;0
286;TRIBUTADO;NACIONAL;199,01;201,44;0;201,44;0;0;0;0;0;0;0;0;0;199,01;199,01;200,22;201,44;201,44;206,48;0;199,01;0
291;TRIBUTADO;IMPORTADO;320,36;320,36;0;324,28;0;320,36;0;322,3;324,28;0;0;332,38;0;320,36;320,36;0;324,28;324,28;0;0;320,36;0
293;TRIBUTADO;IMPORTADO;537,7;545,39;0;493,4;0;537,69;0;541,51;545,38;0;0;561,42;0;564,41;466,6;0;573,66;573,66;0;0;537,7;0
307;TRIBUTADO;NACIONAL;4625,71;4625,71;0;4682,12;0;0;0;0;0;0;0;0;0;4625,71;4625,71;4653,74;4682,12;4682,12;4799,18;0;4625,71;0
309;TRIBUTADO;IMPORTADO;0;0;0;0;0;0;0;0;0;0;0;0;0;1220,07;0;0;1234,95;1234,95;0;0;0;0
310;TRIBUTADO;IMPORTADO;0;0;0;0;0;0;0;0;0;0;0;0;0;2440,22;0;0;2469,97;2469,97;0;0;0;0
311;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;5589,08;5248,36;5625,6;5662,6;5662,6;5815,61;0;5849,9;0
312;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;220,36;206,94;221,81;223,26;223,26;229,3;0;246,59;0
313;TRIBUTADO;NACIONAL;1051,46;1051,46;0;1013,63;0;0;0;0;0;0;0;0;0;996,17;935,49;1002,75;1009,29;1009,29;1036,59;0;1114,43;0
314;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;365,81;343,53;368,23;370,63;370,63;380,65;0;0;0
315;TRIBUTADO;NACIONAL;222,45;222,45;0;227,31;0;0;0;0;0;0;0;0;0;210,75;197,91;212,14;213,52;213,52;219,3;0;235,84;0
316;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;358,08;336,27;360,44;362,79;362,79;372,61;0;0;0
317;TRIBUTADO;NACIONAL;111,2;111,2;0;113,63;0;0;0;0;0;0;0;0;0;105,35;98,94;106,05;106,74;106,74;109,63;0;117,9;0
318;TRIBUTADO;IMPORTADO;348,39;348,39;0;352,64;0;348,39;0;350,5;352,64;0;0;361,46;0;348,39;348,39;0;352,64;352,64;0;0;348,39;0
321;TRIBUTADO;IMPORTADO;643,59;652,65;0;652,65;0;643,59;0;648,09;652,65;0;0;671,54;0;643,59;643,59;0;652,65;652,65;0;0;643,59;0
323;TRIBUTADO;IMPORTADO;2374,57;2374,57;0;2403,52;0;2374,57;0;2388,96;2403,52;0;0;2463,61;0;2374,57;2374,57;0;2403,52;2403,52;0;0;2374,57;0
