cod;qtd
306131;120
109665;1
2183;1
347;1
348;1
4313;1
3601;1
3602;1
453;1
3804;1
74;1
75;1
513;30
1359;30
514;30
1120;1
1121;1
1831;1
1830;1
2107;1
2108;1
1645;1
1646;1
1647;1
1669;1
1670;1
1671;1
110267;1
4295;1
1239;16
1225;30
1330;30
110674;224
89;5
87;5
88;5
687;1
2081;1
1585;25
1584;1
900;10
4499;20
1344;30
715218;1
715219;1
715217;1
715216;1
81;1
82;1
4179;20
4285;1
109987;30
1072;28
1628;30
4481;3
4480;1
1219;1
1220;1
110140;30
400;1
1404;7
67;1
68;1
1115;4
3001;30
110347;1
1395;1
1394;1
4442;1
116085;1
110387;1
569;60
109745;1
1689;5
415;1
351;1
3419;1
306218;1
1202;60
1201;60
1104;10
1114;8
306217;1
110604;30
110605;30
110606;30
110670;1
1304;1
1750;1
3014;1
3015;1
1598;1
1146;30
1271;50
83;60
534;60
535;60
536;1
508;1
1336;1
1069;2
4492;30
381;5
382;5
196;30
809;10
810;2
816;2
100821;2
4434;10
1200;30
946;30
1102;30
4644;50
4408;2
4407;1
4520;63
529;15
528;7
109967;1
832;5
575;25
4385;1
4392;1
434;1
4047;28
4591;16
4549;1
4550;1
109;1
342;30
352;1
433;10
834;2
1302;1
306209;1
109788;1
109924;1
206;1
3045;1
1495;5
3046;1
30;1
354;1
355;1
110491;1
110493;1
110492;1
101;5
102;5
103;5
4593;2
121;1
110551;2
277;5
278;5
279;5
110300;1
1374;1
652;1
4254;1
1863;1
4253;1
4111;20
3933;20
1355;1
1358;1
384;1
341;1
1986;3
1421;1
110167;1
110168;1
307;4
3468;4
3098;4
109243;28
109246;28
109247;28
4468;1
110655;28
4589;60
412;6
408;6
409;6
410;6
413;1
411;6
271;28
249;28
681;1
815;1
4577;1
4567;28
110502;120
4558;270
1277;10
1409;3
13;10
4399;5
306239;28
306240;28
791;28
1067;30
9;28
10;28
11;28
4616;5
1305;1
1878;28
1879;56
1603;1
678;1
1594;1
110335;1
3938;2
331;3
4220;5
1798;1
2061;1
1923;1
1924;1
1922;1
2116;1
1928;1
1929;1
353;1
1815;5
1667;1
1721;5
2094;1
1787;1
4523;1
4524;5
4526;1
4525;5
1925;1
1926;1
1931;1
3367;5
1323;28
110272;30
1656;5
110095;5
276;5
3928;1
565;100
90;5
109877;1
823;1
4455;2
4454;1
109300;1
182;100
329;5
3874;5
1465;1
1346;1
1345;1
4461;20
1268;30
105249;30
306178;1
306210;1
5004;1
553;1
554;1
4401;1
507;1
506;1
1073;1
293;1
588;1
1071;1
1138;28
4547;28
4548;28
3118;60
3119;30
2072;60
5005;30
318;1
489;1
1432;1
1433;1
1434;1
572;7
4286;5
110136;1
3454;1
101731;20
101728;5
110232;28
86;1
85;1
193;30
1583;1
4557;1
;1
;1
109644;1
4345;1
109771;1
109773;1
109774;1
109777;2
4177;1
3789;2
110238;2
110251;2
110723;1
110722;1
1050;1
135;100
110050;5
110650;1
110651;1
110652;1
110649;1
110654;1
110120;21
110087;21
110088;21
3267;1
4517;120
4240;90
110042;1
110041;1
4131;12
4534;1
743;1
4225;2
3805;1
4231;1
3806;1
3807;1
4383;180
4384;60
3017;1
1207;28
101874;28
598;28
1341;28
1088;1
1089;1
1086;1
1087;1
908;30
308;60
4308;60
4309;60
4307;60
1186;1
1185;1
849;1
3083;1
3084;1
4521;120
175;5
1194;5
4420;60
4275;30
4421;60
4276;30
4513;1
110352;63
3451;1
4490;1
1286;1
165;1
4396;1
177;1
456;1
464;1
429;1
3769;25
101990;5
1917;1
1918;1
1981;10
110070;1
4570;30
4569;30
306190;30
1710;25
3913;60
3914;30
1074;1
700;5
1237;30
1223;30
4193;100
110178;30
110177;30
4596;30
4597;30
4143;28
486;1
4306;1
4126;1
4162;1
527;1
4561;112
1491;28
1248;28
1364;2
4314;1
1517;1
110321;84
4562;30
570;1
4335;18
4334;9
634;1
3604;1
2010;24
4291;30
4241;30
4386;1
1554;30
1253;1
837;1
838;1
309;120
310;120
3026;5
3024;5
3025;5
257;1
878;1
879;1
256;1
541;1
697;1
843;1
4288;1
3983;28
3984;28
4227;7
3982;28
34;60
361;10
423;5
110159;3
110180;3
110181;3
61;10
62;1
560;1
4214;1
561;1
4590;30
4311;30
1375;1
1377;1
1378;1
4112;1
4289;1
109779;1
110093;1
4545;60
4546;6
110657;30
1085;1
802;1
4257;1
4258;1
4256;1
4406;1
4405;1
123;1
3266;1
291;1
3179;1
360;1
110141;1
359;1
110142;1
3794;30
3790;30
4566;30
2128;1
1715;1
1709;1
1711;1
1332;1
1333;1
861;28
1403;30
929;1
1572;1
4572;2
1691;1
1690;1
1703;1
110679;2
110205;2
4094;100
4095;50
4093;10
4096;50
4097;50
4494;1
1109;30
3021;5
3022;20
3023;20
3051;5
585;1
28;25
1867;50
3030;60
3044;1
3009;30
1627;1
1106;140
379;12
380;12
110032;3
110031;6
110030;6
1419;1
3028;180
4452;1
4453;2
110186;21
110185;21
