CÓD; ONCOPROD RS ; ONCOPROD SP ; ONCOPROD PE ; NORPROD CE ; HOSPLOG DF ; HOSPLOG DF ; HOSPLOG DF ; HOSPLOG DF ; ONCOPROD ES ; ONCOPROD ES ; ONCOPROD ES ; ONCOPROD ES 
ESTADO; RS/PR/SC ; SP ; PE ; BA/PI/MA/CE/RN /PB/SE/AL ; AC/AL/DF/ES/MT/MS/PA/RR/SC ; GO ; RO ; AP/AM/BA/CE/MA/MG/PB/PR/PE/PI/RN/RS/SP/SE/TO ; ES ; AC/AL/DF/ES/MT/MS/PA/RR/SC/GO ; AP/AM/BA/CE/MA/MG/PB/PR/PE/PI/RN/RS/SP/SE/TO ; RJ 
306131;7.355,610000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
109665;992,950000;0,000000;992,950000;0,000000;979,180000;979,180000;986,010000;992,950000;979,180000;979,180000;992,950000;1.021,700000
02183;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789;629,783789
00347;1.599,775938;0,000000;1.599,766839;0,000000;1.580,492540;1.580,492540;1.590,071283;1.599,766839;1.580,492525;1.588,546263;1.605,656843;1.641,008161
00348;643,230000;643,260000;643,260000;0,000000;635,510000;635,510000;639,360000;643,260000;632,204767;638,750000;645,630000;659,840000
04313;4.299,568432;0,000000;4.299,551371;0,000000;4.247,749547;4.247,749547;4.273,493484;4.299,551371;4.247,749507;4.269,394825;4.315,381413;4.410,392012
03601;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000;404,590000
03602;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000;809,190000
00453;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000;2.022,990000
03804;17.111,620000;0,000000;17.111,620000;0,000000;16.874,250000;16.874,250000;17.007,913212;17.111,620000;16.874,250000;16.874,250000;17.111,620000;17.607,040000
00074;43,890000;43,890000;43,890000;43,890000;43,890000;53,243886;43,890000;43,890000;43,890000;43,890000;43,890000;43,890000
00075;109,043478;109,043478;109,043478;109,043478;109,043478;125,337331;109,043478;109,043478;109,043478;109,043478;109,043478;109,043478
00513;10.457,167083;10.457,167083;10.457,167083;10.457,167083;10.457,167083;11.007,544298;10.457,167083;10.457,167083;10.457,167083;10.457,167083;10.457,167083;10.457,167083
01359;2.614,247708;2.614,247708;2.614,247708;2.614,247708;2.614,247708;2.751,839693;2.614,247708;2.614,247708;2.614,247708;2.614,247708;2.614,247708;2.614,247708
00514;5.228,573750;5.228,573750;5.228,573750;5.228,573750;5.228,573750;5.503,761842;5.228,573750;5.228,573750;5.228,573750;5.228,573750;5.228,573750;5.228,573750
110840;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
110841;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
110836;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
110267;286,730000;286,730000;286,730000;0,000000;282,750000;282,750000;284,730000;286,730000;282,750000;282,750000;286,730000;295,030000
04295;116,884569;0,000000;123,102261;0,000000;121,619101;121,619101;122,356187;123,102261;118,540000;118,540000;119,820000;122,000000
01239;28,130000;0,000000;28,130000;0,000000;27,790000;27,790000;27,959515;28,130000;27,790000;27,790000;28,130000;28,830000
01225;24,660000;0,000000;24,660000;0,000000;24,370000;24,370000;24,510545;24,660000;24,370000;24,370000;24,660000;25,280000
01330;38,810000;0,000000;38,810000;0,000000;38,340000;38,340000;38,574788;38,810000;38,340000;38,340000;38,810000;39,780000
110674;25.489,660000;0,000000;25.489,660000;0,000000;25.136,070000;25.136,070000;25.311,610000;25.489,660000;25.136,070000;25.136,070000;25.489,660000;26.227,640000
00089;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000;756,174000
00087;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526;224,018526
00088;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000;397,704000
00687;1.236,396842;1.236,396842;1.236,396842;1.236,396842;1.236,396842;1.301,470360;1.236,396842;1.236,396842;1.236,396842;1.236,396842;1.236,396842;1.236,396842
02081;6.182,051297;6.182,051297;6.182,051297;6.182,051297;6.182,051297;6.507,422382;6.182,051297;6.182,051297;6.182,051297;6.182,051297;6.182,051297;6.182,051297
01585;111,177535;0,000000;111,180745;0,000000;109,841218;109,841218;110,506922;111,180745;109,841474;111,010000;112,360000;120,917518
01584;161,540000;0,000000;161,540000;0,000000;159,600000;159,600000;160,560970;161,540000;159,600000;159,600000;161,540000;165,580000
00900;12.948,988998;0,000000;12.948,940217;0,000000;12.792,928889;12.792,928889;12.870,461792;12.948,940217;12.792,928895;12.858,118004;12.996,615613;13.282,758625
