CODIGO_INTERNO,EAN,RMS,NOME_COMERCIAL,APRESENTACAO,MARCA,DESCRICAO,UNIDADE,PRD_QT_EQUIVALENTE
10,17898415824010,1559200010147,CLORETO DE POTASSIO,AMPOLA,SAMTEC,"CLORETO DE POTASSIO 19,1% INJETAVEL 10ML",AMPOLA,200
17,7898123905684,1134301140037,GENERICO,AMPOLA,HIPOLABOR,"DEXAMETASONA INJETAVEL 4MG/ML 2,5ML (G)",AMPOLA,100
23,7896676400014,1029801020011,ARAMIN,AMPOLA,CRISTALIA,METARAMINOL INJETAVEL 10MG/ML 1ML,AMPOLA,50
24,7896676404319,1029802260016,LONGACTIL,AMPOLA,CRISTALIA,CLORPROMAZINA INJETAVEL 25MG/5ML (C1)***,AMPOLA,50
27,7896112190745,1037003950047,GENERICO,AMPOLA,TEUTO,DOPAMINA INJETAVEL 50MG/10ML IV (G),AMPOLA,50
32,7896676407662,1029800810027,FENTANEST,FRASCO AMPOLA,CRISTALIA,"FENTANILA 0,05MG/ML 10ML INJETAVEL (A1)***",FRASCO AMPOLA,25
41,7896014688432,1163701190051,ARISCORTEN,FRASCO AMPOLA,BLAU,HIDROCORTISONA INJETAVEL 100MG S/DILUENTE,FRASCO AMPOLA,50
47,7896006270218,1049701260058,ERGOMETRIN,AMPOLA,UNIAO QUIMICA,"METILERGOMETRINA INJETAVEL 0,2MG/ML 1ML",AMPOLA,50
49,7896676402735,1029801240046,NAUSEDRON,AMPOLA,CRISTALIA,ONDANSETRONA INJETAVEL 4MG/2ML IM/IV,AMPOLA,50
53,7896006272113,1049701490043,OXITON,AMPOLA,UNIAO QUIMICA,OCITOCINA INJETAVEL 5UI/ML 1ML,AMPOLA,50
54,7896676407624,1029800940036,THIOPENTAX,FRASCO AMPOLA,CRISTALIA,"TIOPENTAL INJETAVEL 0,5GR (B1)***",FRASCO AMPOLA,25
55,7896676407631,1029800940044,THIOPENTAX,FRASCO AMPOLA,CRISTALIA,TIOPENTAL INJETAVEL 1GR (B1)***,FRASCO AMPOLA,25
58,7896676400663,1029800720346,XYLESTESIN,FRASCO AMPOLA,CRISTALIA,LIDOCAINA 2% C/V INJETAVEL 20ML SP,FRASCO AMPOLA,10
59,7896676400670,1029803570027,XYLESTESIN,FRASCO AMPOLA,CRISTALIA,LIDOCAINA 2% S/V INJETAVEL 20ML SP,FRASCO AMPOLA,10
60,7896676405286,1029803850021,XYLESTESIN PESADA,AMPOLA,CRISTALIA,LIDOCAINA 5% PESADA INJETAVEL 2ML SP,AMPOLA,50
61,7896112190455,1037003060084,GENERICO,AMPOLA,TEUTO,DICLOFENACO SODICO INJETAVEL 25MG/ML 3ML (G),AMPOLA,100
65,7898123905660,1134301120011,GENERICO,TUBO,HIPOLABOR,LIDOCAINA GEL 2% 30GR (G),TUBO,100
66,7896676400588,1029800530245,NEOCAINA,FRASCO AMPOLA,CRISTALIA,"BUPIVACAINA 0,5% S/V SP INJETAVEL 20ML",FRASCO AMPOLA,10
67,7896676400519,1029803500118,NEOCAINA,FRASCO AMPOLA,CRISTALIA,"BUPIVACAINA 0,5% C/V SP INJETAVEL 20ML",FRASCO AMPOLA,10
72,7896112190738,1037002860011,GENERICO,AMPOLA,TEUTO,AMINOFILINA INJETAVEL 24MG/ML 10 ML (G),AMPOLA,50
75,7896676405293,1029800970131,DIMORF,AMPOLA,CRISTALIA,MORFINA INJETAVEL SP 1MG/ML 2ML (A1)***,AMPOLA,50
77,7896676402537,1029800340020,DOLOSAL,AMPOLA,CRISTALIA,PETIDINA INJETAVEL 50MG/ML 2ML  (A1)***,AMPOLA,25
78,7896676402315,1029800960029,CINETOL,AMPOLA,CRISTALIA,BIPERIDENO INJETAVEL 5MG/ML 1ML (C1)***,AMPOLA,50
84,7896112126607,1037003850069,GENERICO,AMPOLA,TEUTO,RANITIDINA INJETAVEL 50MG/2ML (G),AMPOLA,120
86,7896676401950,1029803840016,XYLESTESIN,AMPOLA,CRISTALIA,"LIDOCAINA TUBETES 2% C/V INJETAVEL 1,8ML",AMPOLA,50
89,7896676400182,1029800970148,DIMORF,AMPOLA,CRISTALIA,"MORFINA INJETAVEL SP 0,2MG/ML 1ML (A1)***",AMPOLA,50
90,7896014688456,1163701190078,ARISCORTEN,FRASCO,BLAU,HIDROCORTISONA INJETAVEL 500MG S/DILUENTE,FRASCO,50
92,7896676413342,1029802760035,GENERICO,AMPOLA,CRISTALIA,CETOPROFENO INJETAVEL IM 50MG/ML 2ML (G),AMPOLA,48
100,0000000000100,102980053,,AMPOLA,CRISTALIA,"BUPIVACAINA 0,75% S/V SP INJETAVEL 20ML",AMPOLA,10
101,0000000000101,102980350,,AMPOLA,CRISTALIA,"BUPIVACAINA 0,75% C/V SP INJETAVEL 20ML",AMPOLA,10
105,7898208141501,1140200240121,CEFTRIONA,FRASCO AMPOLA,NOVA FARMA,CEFTRIAXONA INJETAVEL 500MG IM/IV S/DILUENTE,FRASCO AMPOLA,50
112,7896676402056,1029801980023,EFEDRIN,AMPOLA,CRISTALIA,EFEDRINA INJETAVEL 50MG/ML 1ML D1***,AMPOLA,100
114,7898123900023,1134300010016,ADREN,AMPOLA,HIPOLABOR,EPINEFRINA INJETAVEL 1000UI 1ML,AMPOLA,100
122,7896676426120,1029801430120,DORMIRE,AMPOLA,CRISTALIA,MIDAZOLAM INJETAVEL 5MG/5ML (B1)***,AMPOLA,10
126,7896676403503,1029800420016,PAMERGAN,AMPOLA,CRISTALIA,PROMETAZINA INJETAVEL 50MG 2ML,AMPOLA,50
128,7898123907749,1134301220022,GENERICO,AMPOLA,HIPOLABOR,AMIODARONA INJETAVEL 50MG/ML 3ML (G),AMPOLA,100
129,7896676410907,1029802400020,HALO DECANOATO,AMPOLA,CRISTALIA,HALOPERIDOL DECANOATO INJETAVEL 50MG/ML 1ML (C1)***,AMPOLA,15
130,7896006219149,1049711380072,TEFLAN,FRASCO AMPOLA,UNIAO QUIMICA,TENOXICAM 20MG INJETAVEL S/DILUENTE,FRASCO AMPOLA,50
132,7896014686964,1163701100036,CEFARISTON,FRASCO AMPOLA,BLAU,CEFALOTINA INJETAVEL 1G S/DILUENTE,FRASCO AMPOLA,100
136,0000000000136,1037001000025,BEPEBEN,AMPOLA,TEUTO,PENIC.G.BENZ. 1.200.000UI INJETAVEL C/DILUENTE,AMPOLA,50
139,7896676400496,1029803500037,NEOCAINA,FRASCO,CRISTALIA,"BUPIVACAINA 0,25% C/V SP INJETAVEL 20ML",FRASCO,10
140,7896676400502,1029800530229,NEOCAINA,FRASCO AMPOLA,CRISTALIA,"BUPIVACAINA 0,25% S/V SP INJETAVEL 20ML",FRASCO AMPOLA,10
141,7898123905677,1134301140010,GENERICO,AMPOLA,HIPOLABOR,DEXAMETASONA INJETAVEL 2MG/ML 1ML (G),AMPOLA,100
144,0000000000144,102700050,GENTARON,AMPOLA,ARISTON,GENTAMICINA INJETAVEL 60MG/ML,AMPOLA,100
151,7898122911587,1038700290012,HYPLEX B,AMPOLA,HYPOFARMA,COMPLEXO B INJETAVEL 2ML,AMPOLA,100
156,7896676405262,1029800530253,NEOCAINA ISOBARICA,AMPOLA,CRISTALIA,"BUPIVACAINA ISOBARICA 0,5% SP INJETAVEL 4ML",AMPOLA,40
157,7896112126621,1037002770037,GENERICO,AMPOLA,TEUTO,FUROSEMIDA INJETAVEL 10MG/ML 2ML (G),AMPOLA,60
158,7896006212409,1049712110036,VITA K,AMPOLA,UNIAO QUIMICA,VITAMINA K INJETAVEL 10MG/ML 1ML,AMPOLA,50
160,7898123905875,1134301340028,GENERICO,AMPOLA,HIPOLABOR,"SALBUTAMOL INJETAVEL 0,5MG/ML 1ML (G)",AMPOLA,100
161,7898123906759,1134301210035,GENERICO,AMPOLA,HIPOLABOR,BROMETO DE N-BUTIL ESCOPOLAMINA+DIPIRONA INJ 5ML (G),AMPOLA,100
