id_produto,descricao,id_sintese,id_marca,complemento
23580,Queratina; Cistina e associacões - comp,213474,40,BIOLAB
23758,Ácido salicílico + ácido láctico 165mg 145mg / ml - frasco,200247,254,STIEFEL
24453,Ácido acético glacial + manitol; polissorbato 20 + acetato de sódio tri - hidratado + cloreto de sódio e água para injetáveis.,178043,33,MIELOCADE
24971,Óleo essencial de alpinia zerumbet - frasco,170461,129,ziclague
25074,Lactato De Cálcio + Vitamina B12 150 ml - frasco,190809,104,calcitran
25994,Saliva artificial - frasco,137833,171,
26032, Álcool Absoluto Estéril - Ampl,197309,4,
26491,Mirabegrona 50 mg - comprimido,139612,4285,ASTELLAS FARMA
26551,Mentol + canfora + eucaliptol + guaiacol bálsamo  (Transpulmin bálsamo )  20 grs,211299,3663,
26888,Mesilato de desferroxamina 500 mg - frasco ampola,141686,8528,DESFERAL 500MG (DESFERROXAMINA) 5 F/A PO LIOF +IL
26960,Hepatina sódica 40g em gel - frasco,142038,3,TROMBOFOB
28465, Sol topica 100 ml,200687,60,
29143,Colecalciferol 5.000ui,255733,172,Addera 5000ui
23462,Tubo tipo falcon - und,156738,1337,
23463,Ponteira tipo gilson com filtro 200ul - 1000 estéril - rack com 96,214332,1710,
23465,Tubo capilar - und,192875,1157,
23478,Agar selenite cystine broth 500 gr - und,243021,283,
23481,Ponteira tipo eppendorf - und,157634,1710,
23598,Suporte e Copos de Sedimentação - und,222848,774,
23623,Inativador Rioscope OPA - und,122506,584,
23625,Sulfato de alumínio e potássio pa ,120184,2124,
25623,Caixa de Isopor - caixa,200306,368,
23580,Queratina; Cistina e associacões - comp,213474,40,BIOLAB
23758,Ácido salicílico + ácido láctico 165mg 145mg / ml - frasco,200247,254,STIEFEL
24453,Ácido acético glacial + manitol; polissorbato 20 + acetato de sódio tri - hidratado + cloreto de sódio e água para injetáveis.,178043,33,MIELOCADE
24971,Óleo essencial de alpinia zerumbet - frasco,170461,129,ziclague
25074,Lactato De Cálcio + Vitamina B12 150 ml - frasco,190809,104,calcitran
25994,Saliva artificial - frasco,137833,171,
26032, Álcool Absoluto Estéril - Ampl,197309,4,
26491,Mirabegrona 50 mg - comprimido,139612,4285,ASTELLAS FARMA
26551,Mentol + canfora + eucaliptol + guaiacol bálsamo  (Transpulmin bálsamo )  20 grs,211299,3663,
26888,Mesilato de desferroxamina 500 mg - frasco ampola,141686,8528,DESFERAL 500MG (DESFERROXAMINA) 5 F/A PO LIOF +IL
26960,Hepatina sódica 40g em gel - frasco,142038,3,TROMBOFOB
28465, Sol topica 100 ml,200687,60,
29143,Colecalciferol 5.000ui,255733,172,Addera 5000ui
23998,Suplemento alimentar rico em fibras solúvel 260 gr - lata,122452,201,
24329,Dieta peptídica infantil sistema fechado pack 500 ml - emb,216286,201,
25808,Nutrição hospitalar (Dieta oral-enteral-parenteral) - und,180614,3,
23256,Tela de polipropileno monofilamentar sintética - und,175194,23,
23333,Aparelho Auditivo - unid,226170,14354,
26031,Tensiometro para Obeso,232771,1473,
26095,Carga para Grampeador Linear Cortante ,242743,728,
26667,Grampo de Blount und,211868,1954,
27408,Prótese de silicone para tendão,202483,181,
27410,Fixador externo tipo preston,220596,1,
29245,Parafuso Tampão,232049,14187,
23199,Campo operatório 10 x 9 cm estéril pre lavado c- filamento radiopaco - Embalagem com 5 und,140925,73,
23207,Tala fixa para dedos - und,177492,195,
23369,Curativo transparente - und,135390,1,
23372,Escova para limpeza de colonoscópio - und,218844,563,
23645,Filtro de pressão estéril - und,183625,1726,
23836,Placa para colostomia/ostomia convexa flexível - und,157815,67,
23918,Saco para Lixo Branco 120 L - Und,125496,1268,
25336,Tubo conector - und,209320,125,
25342,Kit de ligadura elástica para varizes - und,142032,488,
25713,Balão de dilatação de vias biliares - und ,208729,742,
26061,Curativo de alginato de cálcio com prata 10 x 10 cm ,229092,1,
26062,Curativo de alginato de cálcio com prata 11 x 11 cm ,268751,67,
26071,Bolsa de colostomia pediátrica,215959,67,
26102,Placa para bolsa de colostomia,155552,67,
26159,Bolsa de gel quente ou fria,192684,510,
26204,Dreno de sucção,189904,72,
26205,Dreno de borracha em silicone,273164,224,
26209,Extensor linha paciente valvula 20 cm,277597,94,
