CODIGO_INTERNO;CODIGO_BARRAS;REGISTRO_ANVISA;NOME_COMERCIAL;APRESENTACAO;MARCA;TIPO_EMBALAGEM;QT_EMBALAGEM
8;7891721023484;1008902800060;ACICLOVIR 400 MG CP (G);ACICLOVIR 400 MG VO CP;MERCK;CX C/30 CP;30
24;7899095210028;1542300020042;AMIORON 200 MG CP (S);CLORIDRATO DE AMIODARONA 200 MG VO CP;GEOLAB;CX C/500 CP;500
25;7896014685332;1163700940103;DOCLAXIN 1 G/200 MG FA (S);"AMOXICILINA + CLAVULANATO DE POTASSIO 1 G/200 MG PÓ/INJ IV S/DIL F/A

";BLAU FARMAC.;CX C/20 FA;20
1924;7897947706477;1004100980129;CLORETO DE SODIO 0,9% SIST FECHAD 100 ML;"SOLUÇÃO DE CLORETO DE SÓDIO 9 MG/ML SISTEMA FECHADO IV FRASCO 100 ML


";FRESENIUS KABI;CX C/80 FR;80
1;7896523209098;1438101310038;ACEBROFILINA AD 50 MG/5 ML 120 ML FR (G);ACEBROFILINA AD 50 MG/5 ML 120 ML ;CIMED;CX C/50 FR;50
29;7898148298907;1256801560024;AMOXICILINA 250 MG/5ML 60ML FR (G);AMOXICILINA 50 MG/ML 60 ML VO FR;PRATI DONADUZZI;CX C/50 FR;50
30;7898148298945;1256801470068;AMOXICILINA 500 MG CAP (G);AMOXICILINA 500 MG VO CAP;PRATI DONADUZZI;CX C/840 CAP;840
33;7899095258037;1542302070047;BESILAPIN 5 MG CP (S);BESILATO DE ANLODIPINO 5 MG VO CP ;GEOLAB;CX C/500 CP ;500
34;7898919505982;80011990003;APARELHO ON CALL PLUS UND;MEDIDOR DE GLICEMIA CAPILAR;ACON;CX C/1 UNI;1
3;7898148292790;1256801590020;ACEBROFILINA PED 25 MG/5 ML 120 ML FR(G);"ACEBROFILINA PED 25 MG/5 ML 120 ML

";PRATI DONADUZZI;CX C/50 FR;50
5;7898148298884;1256801560040;AMOXICILINA 250 MG/5ML 150 ML FR (G);AMOXICILINA 50 MG/ML 150 ML VO FR;PRATI DONADUZZI;CX C/50 FR;50
32;7898361880958;1516700190043;AMOXICILINA 500 MG CAP (G);AMOXICILINA 500 MG VO CAP;AUROBINDO;CX C/350 CAP;350
10;7897460400364;1565100450026;TRANSAMIN 50 MG/ML EV 5 ML AMP (E);ACIDO TRANEXAMICO 50 MG/ML IV AMP;ZYDUS;CX C/5 AMP;5
12;7898470682054;1134301860021;ACIDO TRANEXAMICO 50 MG/ML IV AMP (G);ACIDO TRANEXAMICO 50 MG/ML IV AMP;HIPOLABOR;CX C/100 AMP;100
1909;7898470683983;1134301960018;FLUMAZENIL 0,1 MG/ML IV 5 ML (G) (C1);FLUMAZENIL 0,1 MG/ML SOL/INJ IV 5 ML AMP (C1);HIPOLABOR;CX C/5 AMP;5
