codigo;nome comercial;apresentacao;marca;descricao;rms;ean;unidade;quantidade_unidade
000005;Filtro para Ventilação Mecanica Eletrostatico Bac;;BRMED;;81045420001;SEM GTIN;;1441
00086;Avental Desc. Ml Bco tam. G GR media pct c/ 10;;DEJAMARO;;81605660002;2000000020945;;3757
01042;Seringa Estéril Uso Unico p/Insulina s/Agulha SLIP 1ml;;SALDANHA RODRIGUES;;80026180029;;;690980
02069;Mascara Cirurgica Com  Tiras com Clipes branca PCT C 100 UND;;SKY;;80251280006;SEM GTIN;;3256
022;Avental Desc. Manga longa stand. Bco. 1,40 x 1,10M, 30g, punho elást, pct c/10 unid;;ANADONA;;80175349006;7898433200226;;1316
02212;Dreno Blake 7mm Plano 3/16 Tro;;ETHICON - J&J;;80145901740;10705031003484;;5
03001;Seringa Uso Unico s/Agulha Lock 3ml;;SALDANHA RODRIGUES;;80026180029;;;384600
03003;Seringa Uso Unico s/Agulha Slip 3ml;;SALDANHA RODRIGUES;;80026180029;;;200000
03021;Seringa 3ml Luer Lock c/ Disp. De Segurança;;SALDANHA RODRIGUES;;80026180054;7898259495493;;20312
05001;Seringa Uso Unico s/Agulha Lock 5ml;;SALDANHA RODRIGUES;;80026180029;;;290200
05003;Seringa Uso Unico s/Agulha Slip 5ml;;SALDANHA RODRIGUES;;80026180029;;;99700
068.00.0073;Lencol Com Elastico (Volta Toda) Pp20 Bco 2,10x0,90m Pc c/ 10;;BEST FABRIL BEST FABRIL;;;7899575711427;;15
068.00.0074;Lencol Com Elastico (Volta Toda) Pp20 Branco 2,10x1,20 Pct c/ 10;;BEST FABRIL BEST FABRIL;;8019228;7899575711434;;63
1.013.100.022;Compr de gaze estéril Herika Soft 13 fios 7.5x7.5cm, 15x26cm Pct  c/ 10 unid - C11;;AMERICAN;;81481900001;7898488470384;;261189
1.041.100.008;Campo Op.  Estéril Vitória Premium, 20g, 25x28cm Pct c/5 unid. - B53;;AMERICAN;;81481900003;7898488470841;;85919
1.051.100.006-BPB;Campo Op. estéril Vitória Premium, 9g, 10x9cm Pct c/5 unid. - B26 ( INSERCAO DUPLA;;AMERICAN;;81481900003;;;4974
10001;Seringa Uso Unico s/Agulha Lock 10ml;;SALDANHA RODRIGUES;;80026180029;;;506778
10003;Seringa Uso Unico s/Agulha Slip 10ml;;SALDANHA RODRIGUES;;80026180029;;;709978
1008000020;Avental Amelia SMS c/ punho de malha 40g/m2, esteril, c/1und;;AMERICAN;;81481900013;7898668061418;;131
1008000024;Avental Cirurgico Hosp descartavel Amélia SMS c/ punho de Malha 50g/2 c/ 1und;;AMERICAN;;81481900013;7898668061418;;116
10101170220050;Toalhas umedecidas com dimeticona (azul) – c/ 8 unidades _;;BIO HIGIENIC;;;7898655870221;;10104
1012100016;Compr de Gaze estéril Herika soft 11 fios 7.5x7.5cm, 15x26cm Pct c/20 unid - G08;;AMERICAN;;81481900001;;;48694
1012100019;Compr de Gaze esteril Hérika Soft 11 fios 7.5x7.5cm, 15x26cm Pct c/10 unid - G03;;AMERICAN;;81481900001;7898488470315;;2
1013100002;Compr de Gaze estéril Herika Premium 13fios 7.5x7.5cm, 15x30cm Pct c/10 unid - C22;;AMERICAN;;81481900001;7898488471169;;84893
1013100029;Compr de Gaze estéril Herika Premium 13fios 7.5x7.5cm, 15x30cm Pct c/20 unid - C07;;AMERICAN;;81481900001;7898488471497;;144915
1023100005;Compr de Gaze est Herika Premium 13 fios 7.5x7.5cm, 15x30cm RX Pct c/10 unid - C03;;AMERICAN;;81481900011;7898488470117;;9855
1026100012;Compr de Gaze estéril Livia Básica 13 fios 7.5x7.5cm, 15x26cm Pct c/10 unid - C57;;AMERICAN;;81481900001;7898668060190;;38612
1026100014;Compressa de Gaze não Estéril REBECCA - 11 fios/cm² 7,5cm x 7,5cm 14cm x 24cm c/500;;AMERICAN;;81481900005;7898488471565;;764
1026100015;Compr de Gaze NÃO est Rebeca Básica 13 fios 7.5x7.5cm, 14x22cm Pct c/500 unid - R18;;AMERICAN;;81481900005;7898488471572;;829
1032100009;Campo Op. NÃO estéril Valentinna Soft, 27g, 45x50cm Pct c/50 unid. - B17;;AMERICAN;;81481900007;7898488471312;;9
1041100002;Campo operatório estéril Vitória Soft RX 17gr, 25x28cm. Pct. c/5 unid - B52;;AMERICAN;;81481900003;7898488471237;;40648
1051100001;Campo Op. Estéril Vitória Soft , 9g, 10x9cm Pct c/5 unid. - B25;;AMERICAN;;81481900003;7898488471220;;3
1051100006;Campo Op. estéril Vitória Premium, 9g, 10x9cm Pct c/5 unid. - B26;;AMERICAN;;81481900003;7898488470858;;69007
1081010013;Atadura de Crepom Eduarda Soft 30cm x 1.8M Pct c/12 unid - E13;;AMERICAN;;81481900008;7898488471435;;3
