77.265.361/0001-94;MARIMED SERVICOS MEDICOS S/A;MARINGA;PR;vendas9@promefarma.com.br
83.192.096/0001-64;HOSPITAL SANTA CRUZ DE CANOINHAS;CANOINHAS;SC;vendas2@promefarma.com.br
46.009.718/0001-40;HOSPITAL VERA CRUZ S/A;CAMPINAS;SP;vendas6@promefarma.com.br
06.023.461/0001-66;PIONEIRA ATENDIMENTO DOMICILIAR EM SAUDE LTDA.;RIO DE JANEIRO;RJ;vendas8@promefarma.com.br
84.712.983/0001-89;INSTITUICAO BETHESDA;JOINVILLE;SC;vendas2@promefarma.com.br
31.944.744/0001-98;AJM SERVICOS ESTETICOS LTDA;CURITIBA;PR;comercial3@promefarma.com.br
53.221.255/0049-95;ASSOCIACAO LAR SAO FRANCISCO DE ASSIS NA PROVIDENCIA DE DEUS;RIO DE JANEIRO;RJ;vendas8@promefarma.com.br
88.590.369/0001-42;HOSPITAL BENEFICENTE SANTA LUCIA;CASCA;RS;vendas3@promefarma.com.br
92.404.789/0001-64;SOCIEDADE BENEFICENTE DO HOSPITAL DE CARIDADE;FREDERICO WESTPHALEN;RS;vendas3@promefarma.com.br
18.115.071/0001-03;HOSPITAL DE ESPERA FELIZ;ESPERA FELIZ;MG;vendas8@promefarma.com.br
29.640.612/0001-20;CONFERENCIA SAO JOSE DO AVAI;ITAPERUNA;RJ;vendas8@promefarma.com.br
87.768.735/0001-48;HOSPITAL DE CARIDADE E BENEFICENCIA;CACHOEIRA DO SUL;RS;vendas3@promefarma.com.br
28.700.530/0012-14;INSTITUTO MARIA SCHMITT DES ENSINO ASSIS SOCIAL S CIDADAO;OSORIO;RS;vendas3@promefarma.com.br
87.408.845/0001-07;SANTA CASA DE CARIDADE DE BAGE;BAGE;RS;vendas3@promefarma.com.br
91.162.511/0001-65;SOCIEDADE BENEFICENCIA E CARIDADE DE LAJEADO;LAJEADO;RS;vendas3@promefarma.com.br
87.547.444/0001-20;SOCIEDADE DR.BARTHOLOMEU TACCHINI;BENTO GONCALVES;RS;vendas3@promefarma.com.br
87.701.249/0003-74;UNIMED MISSOES/RS - COOPERATIVA DE ASSISTENCIA A SAUDE LTDA;SANTO ANGELO;RS;vendas3@promefarma.com.br
87.647.756/0002-96;UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTENCIA A;IJUI;RS;vendas3@promefarma.com.br
20.959.292/0001-00;IRMANDADE NOSSA SENHORA DAS DORES;ITABIRA;MG;vendas8@promefarma.com.br
15.482.841/0001-50;INSTITUTO MULTI GESTAO;RIO DE JANEIRO;RJ;vendas8@promefarma.com.br
26.202.168/0001-73;ASSOCIACAO HOSPITALAR NOSSA SENHORA DOS ANJOS;ITAMBACURI;MG;vendas8@promefarma.com.br
19.313.618/0001-30;CASA DE SAUDE DIVINO ESPIRITO SANTO S A;CARATINGA;MG;vendas8@promefarma.com.br
23.343.049/0001-42;CASA DE SAUDE IMACULADA CONCEICAO LTDA;PATOS DE MINAS;MG;vendas8@promefarma.com.br
04.875.146/0001-31;CEMAC - CENTRO MURIAEENSE DE APOIO A CIDADANIA;MURIAE;MG;vendas8@promefarma.com.br
20.772.760/0001-24;IRMANDADE DE MISERICORDIA DE GUAXUPE;GUAXUPE;MG;vendas8@promefarma.com.br
42.892.281/0003-46;UNIMED GOV VALADARES COOP DE TRAB MEDICO LTDA;GOVERNADOR VALADARES;MG;vendas8@promefarma.com.br
35.753.862/0001-70;CASA DE SAUDE PINHEIRO MACHADO LTDA;RIO DE JANEIRO;RJ;vendas8@promefarma.com.br
28.812.576/0003-34;CENTRO POPULAR PRO MELHORAMENTOS DE BOM JESUS;BOM JESUS DO ITABAPOANA;RJ;vendas8@promefarma.com.br
88.665.914/0001-12;ASSOCIACAO CULTURAL E CIENTIFICA VIRVI RAMOS;CAXIAS DO SUL;RS;vendas3@promefarma.com.br
88.645.403/0013-72;CIRCULO OPERARIO CAXIENSE;CAXIAS DO SUL;RS;vendas3@promefarma.com.br
95.324.638/0001-94;HOSPITAL BENEFICENTE SAO JOAO;SANANDUVA;RS;vendas3@promefarma.com.br
88.450.234/0001-81;HOSPITAL DE CARIDADE DE CARAZINHO;CARAZINHO;RS;vendas3@promefarma.com.br
89.121.230/0001-12;HOSPITAL SANTA LUCIA LTDA;CRUZ ALTA;RS;vendas3@promefarma.com.br
05.503.624/0001-45;CAPTAMED CUIDADOS CONTINUADOS LTDA;BELO HORIZONTE;MG;vendas8@promefarma.com.br
20.848.610/0001-57;CLINICA DE CIRURGIA PLASTICA E PRONTO SOC DA FACE LTDA;BELO HORIZONTE;MG;vendas8@promefarma.com.br
24.672.792/0001-09;ASSOCIACAO MATOGROSSENSE DE COMBATE AO CANCER;CUIABA;MT;vendas8@promefarma.com.br
19.878.404/0001-00;FUNDACAO SAO FRANCISCO XAVIER;IPATINGA;MG;vendas8@promefarma.com.br
24.676.884/0009-14;UNIMED RONDONOPOLIS COOPERATIVA DE TRAB MEDICO LTDA;RONDONOPOLIS;MT;vendas8@promefarma.com.br
03.824.198/0001-16;ICTR INSTITUTO DO CANCER E TRANSPLANTE LTDA;CURITIBA;PR;vendas4@promefarma.com.br
05.149.979/0001-88;HOSPITAL E MATERNIDADE DR LIMA LTDA;CASCAVEL;PR;vendas9@promefarma.com.br
05.866.492/0001-16;ASSOCIACAO BENEF. DE SAUDE DO NOROESTE DO PARANA;UMUARAMA;PR;vendas9@promefarma.com.br
06.019.110/0001-81;ASSOCIACAO BENEFICENTE SAO FRANCISCO DE ASSIS;UMUARAMA;PR;vendas9@promefarma.com.br
80.906.639/0001-70;ASSOCIACAO BENEFICIENTE  SAO RAFAEL;ROLANDIA;PR;vendas9@promefarma.com.br
04.762.301/0001-03;HOSPITAL DO CORACAO DE LONDRINA LTDA;LONDRINA;PR;vendas9@promefarma.com.br
04.762.301/0003-75;HOSPITAL DO CORACAO DE LONDRINA LTDA;LONDRINA;PR;vendas9@promefarma.com.br
81.564.346/0001-14;HOSPITAL MARECHAL CANDIDO RONDON LTDA;MARECHAL CANDIDO RONDON;PR;vendas9@promefarma.com.br
78.189.537/0001-39;INSTITUTO DE ONCOLOGIA E HEMATOLOGIA MARINGA LTDA;MARINGA;PR;vendas9@promefarma.com.br
00.855.774/0001-02;HSM HOSPITAL E MATERNIDADE LTDA;MARINGA;PR;vendas9@promefarma.com.br
84.926.435/0001-51;NEFROCLINICA DE FOZ DO IGUACU LTDA;FOZ DO IGUACU;PR;vendas9@promefarma.com.br
04.792.670/0001-49;ASSOCIACAO BENEFICENTE BOM SAMARITANO;MARINGA;PR;vendas9@promefarma.com.br
23.876.304/0001-12;HOSPITAL BOM SAMARITANO DE MARINGA S/A;MARINGA;PR;vendas9@promefarma.com.br
05.019.988/0001-54;CIMAP - CENTRO DE IMAGEM PILAR LTDA;CURITIBA;PR;comercial3@promefarma.com.br
84.903.988/0001-99;HOSPITAL DE CARIDADE SENHOR BOM JESUS DOS PASSOS;LAGUNA;SC;vendas2@promefarma.com.br
60.194.990/0022-00;INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA;ITAJAI;SC;vendas2@promefarma.com.br
92.736.040/0008-90;SOCIEDADE LITERARIA E CARITATIVA SANTO AGOSTINHO;CRICIUMA;SC;vendas2@promefarma.com.br
84.694.405/0001-67;ASSOCIACAO BENEFICIENTE EVANGELICA DE JOINVILLE;JOINVILLE;SC;vendas2@promefarma.com.br
83.506.030/0002-82;BENEFICENCIA CAMILIANA DO SUL * CONCORDIA;CONCORDIA;SC;vendas10@promefarma.com.br
80.490.618/0001-16;CLINICA PRO-VIDA LTDA;TUBARAO;SC;vendas2@promefarma.com.br
82.654.088/0001-20;FUNDACAO HOSPITALAR DE BLUMENAU;BLUMENAU;SC;vendas2@promefarma.com.br
85.285.930/0001-91;FUNDACAO HOSPITALAR SANTA OTILIA;ORLEANS;SC;vendas2@promefarma.com.br
11.096.423/0001-73;HOSPITAL BAIA SUL S/A;FLORIANOPOLIS;SC;vendas10@promefarma.com.br
28.700.530/0005-95;INST MARIA SCHIMITT DES ENSINO ASSIST SOCIA SAUDE CIDADAO;FLORIANOPOLIS;SC;vendas10@promefarma.com.br
83.297.739/0001-34;SOCIEDADE HOSPITALAR BENEFICENTE DE PINHALZINHO;PINHALZINHO;SC;vendas10@promefarma.com.br
82.996.703/0013-10;UNIMED CRICIUMA COOP.TRABALHO MEDICO REGIAO CARBONIFERA;CRICIUMA;SC;vendas2@promefarma.com.br
86.245.982/0001-05;ASSOCIACAO BENEFICIENTE HOSPITAL SAO LUCAS;GUARACIABA;SC;vendas10@promefarma.com.br
89.428.734/0022-04;ASSOCIACAO EDUCACIONAL E CARITATIVA;XANXERE;SC;vendas10@promefarma.com.br
02.122.913/0001-06;ASSOCIACAO HOSPITALAR LENOIR VARGAS FERREIRA;CHAPECO;SC;vendas10@promefarma.com.br
86.185.220/0006-67;CONGREGACAO DAS IRMAS FRANCISCANAS DE SAO JOSE;ITUPORANGA;SC;vendas2@promefarma.com.br
73.433.427/0001-57;FUNDACAO DE SAUDE DO ALTO VALE DO ITAJAI;RIO DO SUL;SC;vendas2@promefarma.com.br
47.078.019/0005-48;HOSPITAL MAHATMA GANDHI * MAFRA;MAFRA;SC;vendas2@promefarma.com.br
78.665.361/0001-44;INSTITUTO DE ORTOPEDIA E TRAUMATOLOGIA SANTA CATARINA LTDA;JOINVILLE;SC;vendas2@promefarma.com.br
85.197.077/0001-56;SOCIEDADE BENEFICENTE HOSPITALAR MARAVILHA;MARAVILHA;SC;vendas10@promefarma.com.br
01.595.799/0001-79;SOCIMED SERVICOS HOSPITALARES S.A;TUBARAO;SC;vendas2@promefarma.com.br
00.381.694/0003-16;UNIMED ALTO VALE COOPERATIVA DE TRABALHO MEDICO;RIO DO SUL;SC;vendas2@promefarma.com.br
82.653.163/0001-38;ASSOCIACAO HOSPITALAR BENEFICENTE MISERICORDIA DE VILA ITOUP;BLUMENAU;SC;vendas2@promefarma.com.br
